DATA,PM10,NO2,"PM 2,5"
2021-01-01,12.583,7.856,16.75
2021-01-02,7.292,9.605,11.958
2021-01-03,7.917,7.319,13.458
2021-01-04,8.167,15.194,12.083
2021-01-05,17.667,15.715,14.708
2021-01-06,25.125,29.831,19.125
2021-01-07,34.458,22.74,20.25
2021-01-08,17.417,12.012,13.208
2021-01-09,17.792,11.847,12.208
2021-01-10,20.5,19.453,15.833
2021-01-11,20.292,9.313,14.708
2021-01-12,19.958,12.945,15.917
2021-01-13,24.083,12.307,14.0
2021-01-14,17.625,24.208,15.5
2021-01-15,18.542,19.122,14.542
2021-01-16,17.583,17.648,13.25
2021-01-17,10.917,14.998,12.0
2021-01-18,17.167,20.811,13.542
2021-01-19,21.333,30.09,16.75
2021-01-20,18.75,29.315,15.417
2021-01-21,18.292,21.492,14.833
2021-01-22,18.417,18.989,17.833
2021-01-23,13.542,27.805,14.667
2021-01-24,11.708,27.805,14.125
2021-01-25,19.417,27.805,13.125
2021-01-26,16.375,29.595,14.542
2021-01-27,18.375,27.663,13.667
2021-01-28,29.833,36.968,19.917
2021-01-29,23.583,28.858,15.417
2021-01-30,18.917,18.595,14.042
2021-01-31,22.833,11.409,18.625
2021-02-01,25.25,26.397,16.167
2021-02-02,26.208,33.737,21.25
2021-02-03,25.708,27.463,17.292
2021-02-04,28.083,22.088,16.417
2021-02-05,18.542,26.876,18.0
2021-02-06,12.583,27.805,12.208
2021-02-07,9.917,27.805,11.958
2021-02-08,12.875,29.756,13.625
2021-02-09,19.75,28.885,15.0
2021-02-10,19.375,30.175,17.333
2021-02-11,27.417,31.892,15.958
2021-02-12,20.875,29.628,17.875
2021-02-13,17.75,19.369,14.542
2021-02-14,14.875,13.428,12.875
2021-02-15,18.875,19.033,15.417
2021-02-16,19.25,21.055,15.208
2021-02-17,17.625,22.743,15.167
2021-02-18,16.833,23.265,13.792
2021-02-19,18.375,28.98,14.083
2021-02-20,13.375,25.3,13.542
2021-02-21,13.792,27.805,12.292
2021-02-22,17.167,27.973,12.0
2021-02-23,15.083,26.61,16.25
2021-02-24,19.875,27.27,18.083
2021-02-25,35.292,29.996,18.458
2021-02-26,25.292,25.643,12.333
2021-02-27,20.25,30.194,17.083
2021-02-28,8.875,14.693,11.333
2021-03-01,25.0,21.593,9.75
2021-03-02,35.458,24.115,11.042
2021-03-03,23.0,25.258,12.125
2021-03-04,26.625,27.387,12.792
2021-03-05,32.625,27.916,17.25
2021-03-06,32.5,16.085,12.333
2021-03-07,19.292,13.454,12.833
2021-03-08,23.542,19.084,12.708
2021-03-09,24.583,22.902,15.542
2021-03-10,28.458,25.515,15.542
2021-03-11,32.5,24.875,16.083
