DATA,PM10,NO2,"PM 2,5"
2021-01-01,22.333,13.215,11.208
2021-01-02,10.708,12.5,5.458
2021-01-03,10.0,12.81,4.667
2021-01-04,12.625,20.077,3.125
2021-01-05,16.917,25.592,7.625
2021-01-06,25.292,35.384,12.208
2021-01-07,22.5,26.445,10.667
2021-01-08,9.667,20.804,5.542
2021-01-09,11.125,18.018,4.542
2021-01-10,12.917,21.698,5.958
2021-01-11,14.667,21.625,4.958
2021-01-12,14.083,20.785,7.958
2021-01-13,16.708,27.677,8.875
2021-01-14,10.917,21.514,7.0
2021-01-15,11.625,19.101,4.958
2021-01-16,10.417,20.243,5.875
2021-01-17,7.792,10.998,3.333
2021-01-18,21.167,22.726,10.125
2021-01-19,27.833,27.428,12.208
2021-01-20,28.875,28.885,7.042
2021-01-21,24.542,27.386,9.042
2021-01-22,26.167,22.223,10.125
2021-01-23,9.625,15.113,5.917
2021-01-24,8.75,10.723,4.875
2021-01-25,16.958,19.156,8.083
2021-01-26,11.25,17.679,3.542
2021-01-27,22.0,22.895,8.25
2021-01-28,34.25,25.651,13.417
2021-01-29,25.792,22.741,9.125
2021-01-30,12.583,14.141,5.125
2021-01-31,16.125,11.8,8.583
2021-02-01,17.542,24.313,8.333
2021-02-02,21.208,28.636,9.458
2021-02-03,29.25,29.656,13.958
2021-02-04,20.708,18.392,7.917
2021-02-05,22.75,21.348,6.208
2021-02-06,9.125,13.956,5.375
2021-02-07,11.583,20.864,4.792
2021-02-08,9.292,21.15,4.458
2021-02-09,13.25,24.626,6.042
2021-02-10,15.792,23.772,6.75
2021-02-11,22.25,25.506,9.792
2021-02-12,22.0,24.875,8.417
2021-02-13,22.0,23.44,6.625
2021-02-14,22.0,23.44,4.958
2021-02-15,22.0,23.44,5.75
2021-02-16,18.25,23.44,6.125
2021-02-17,11.542,23.44,3.958
2021-02-18,12.083,22.698,4.333
2021-02-19,10.5,19.669,5.083
2021-02-20,11.792,15.432,4.375
2021-02-21,8.5,13.774,5.917
2021-02-22,9.875,19.458,4.125
2021-02-23,13.75,24.392,5.958
2021-02-24,25.042,22.765,8.667
2021-02-25,26.833,26.03,11.792
2021-02-26,19.375,23.373,8.125
2021-02-27,14.5,23.615,7.542
2021-02-28,8.0,13.057,5.667
2021-03-01,8.917,18.453,5.167
2021-03-02,14.25,19.439,5.583
2021-03-03,25.708,22.323,10.708
2021-03-04,36.833,18.504,18.917
2021-03-05,41.833,14.458,12.625
2021-03-06,15.75,7.53,4.458
2021-03-07,13.333,8.486,5.5
2021-03-08,13.333,14.893,4.208
2021-03-09,18.917,19.529,9.125
2021-03-10,24.583,20.31,10.458
2021-03-11,28.375,17.714,8.042
2021-03-12,22.0,21.789,8.708
2021-03-13,22.0,18.527,9.042
2021-03-14,19.167,13.209,5.5
2021-03-15,50.208,24.222,19.417
2021-03-16,40.0,19.576,13.458
2021-03-17,46.833,17.415,17.833
2021-03-18,19.75,18.2,5.958
2021-03-19,15.583,18.374,3.042
2021-03-20,15.208,13.675,4.375
2021-03-21,13.75,14.896,7.0
2021-03-22,36.667,20.79,12.375
2021-03-23,26.0,28.216,15.75
2021-03-24,42.125,26.782,13.958
2021-03-25,46.75,29.751,17.25
2021-03-26,33.708,23.76,13.833
2021-03-27,27.75,15.221,11.5
2021-03-28,22.417,14.421,8.167
2021-03-29,25.208,26.612,11.25
2021-03-30,31.25,22.3,14.208
2021-03-31,37.125,27.599,16.542
2021-04-01,37.958,23.296,12.333
2021-04-02,31.375,15.616,7.125
2021-04-03,25.292,14.817,11.083
2021-04-04,21.417,14.447,6.792
2021-04-05,11.542,22.935,6.458
2021-04-06,18.417,24.643,8.333
2021-04-07,21.292,27.132,7.458
2021-04-08,13.958,24.867,4.542
2021-04-09,22.0,23.808,7.0
2021-04-10,22.0,20.177,13.792
2021-04-11,22.0,21.455,28.667
2021-04-12,33.292,27.213,30.875
2021-04-13,71.25,31.693,23.042
2021-04-14,18.208,23.704,6.708
2021-04-15,34.917,27.813,13.875
2021-04-16,46.042,29.945,20.125
2021-04-17,38.125,22.24,17.042
2021-04-18,36.542,18.568,18.458
2021-04-19,37.708,18.172,14.458
2021-04-20,28.0,23.342,9.083
2021-04-21,37.5,20.782,12.458
2021-04-22,67.292,27.159,30.417
2021-04-23,36.0,28.687,21.417
2021-04-24,62.375,25.896,27.25
2021-04-25,59.792,21.348,25.208
2021-04-26,87.792,26.34,37.833
2021-04-27,60.458,23.508,21.042
2021-04-28,28.917,25.721,19.333
2021-04-29,38.375,26.487,15.5
2021-04-30,14.292,21.865,5.083
2021-05-01,14.083,18.622,5.458
2021-05-02,20.708,19.085,8.167
2021-05-03,31.75,25.955,11.875
2021-05-04,39.625,22.727,16.292
2021-05-05,73.25,27.582,35.667
2021-05-06,22.0,22.983,41.042
2021-05-07,43.458,28.73,44.875
2021-05-08,40.0,20.143,12.667
2021-05-09,16.25,13.177,6.583
2021-05-10,20.417,24.267,6.833
2021-05-11,60.708,27.556,24.875
2021-05-12,78.792,25.015,34.458
2021-05-13,36.5,24.974,29.083
2021-05-14,26.083,26.032,10.958
2021-05-15,32.792,21.206,16.208
2021-05-16,43.417,16.329,19.458
2021-05-17,31.0,20.125,17.125
2021-05-18,63.083,25.121,26.583
2021-05-19,44.667,30.005,42.458
2021-05-20,84.875,30.914,39.625
2021-05-21,79.167,31.72,44.292
2021-05-22,22.0,19.967,27.792
2021-05-23,22.0,14.634,17.375
2021-05-24,27.292,16.186,18.333
2021-05-25,42.917,33.385,17.333
2021-05-26,61.833,24.787,24.792
2021-05-27,64.75,17.232,27.042
2021-05-28,56.0,19.894,20.792
2021-05-29,41.042,18.08,15.25
2021-05-30,45.75,16.599,19.375
2021-05-31,47.5,17.371,17.583
2021-06-01,24.333,25.289,12.042
2021-06-02,34.5,19.252,15.042
2021-06-03,31.833,23.367,14.208
2021-06-04,40.375,25.993,17.75
2021-06-05,39.292,19.502,14.708
2021-06-06,30.208,16.084,14.333
2021-06-07,43.958,23.289,18.25
2021-06-08,58.125,24.955,21.875
2021-06-09,51.0,26.873,21.375
2021-06-10,30.75,25.805,15.042
2021-06-11,66.292,24.33,32.542
2021-06-12,27.292,22.353,14.792
2021-06-13,16.625,18.765,9.5
2021-06-14,31.5,38.252,14.417
2021-06-15,52.458,37.706,24.083
2021-06-16,70.042,32.88,31.917
2021-06-17,52.708,35.285,23.708
2021-06-18,62.208,39.799,26.458
2021-06-19,48.833,20.938,20.917
2021-06-20,37.75,17.454,17.083
2021-06-21,71.333,19.248,26.0
2021-06-22,51.208,23.82,19.833
2021-06-23,26.167,25.948,12.083
2021-06-24,34.0,33.084,16.583
2021-06-25,84.75,37.933,38.292
2021-06-26,53.833,25.572,22.208
2021-06-27,36.25,22.717,16.917
2021-06-28,73.333,41.045,33.125
2021-06-29,96.25,30.056,38.917
2021-06-30,48.375,28.801,17.625
2021-07-01,26.708,27.602,10.792
2021-07-02,33.458,36.784,13.125
2021-07-03,69.083,40.856,30.583
2021-07-04,47.375,36.047,22.958
2021-07-05,69.625,52.118,27.292
2021-07-06,51.417,49.743,21.583
2021-07-07,51.875,49.578,19.667
2021-07-08,71.333,58.883,31.583
