DATA,PM10,NO2,"PM 2,5"
2021-01-01,10.164,8.605,14.583
2021-01-02,9.122,10.169,12.042
2021-01-03,8.287,8.862,12.917
2021-01-04,9.354,13.921,13.042
2021-01-05,8.228,14.263,14.792
2021-01-06,15.755,21.148,23.292
2021-01-07,14.051,14.076,17.708
2021-01-08,9.92,10.504,12.167
2021-01-09,19.735,13.782,16.083
2021-01-10,8.436,11.082,16.0
2021-01-11,9.893,13.326,15.208
2021-01-12,11.212,13.991,16.5
2021-01-13,8.97,12.062,14.0
2021-01-14,9.246,10.086,14.0
2021-01-15,9.998,11.763,14.0
2021-01-16,34.331,10.624,14.0
2021-01-17,8.215,6.818,14.0
2021-01-18,8.685,12.9,14.0
2021-01-19,9.683,13.264,14.0
2021-01-20,9.967,10.522,14.0
2021-01-21,8.767,9.048,14.0
2021-01-22,8.732,8.233,14.0
2021-01-23,8.582,8.936,14.0
2021-01-24,10.163,6.624,14.0
2021-01-25,6.485,9.562,14.0
2021-01-26,7.516,10.203,14.0
2021-01-27,9.254,12.221,14.0
2021-01-28,9.312,13.899,14.0
2021-01-29,10.332,14.014,14.0
2021-01-30,8.936,8.722,14.0
2021-01-31,9.375,8.764,14.0
2021-02-01,13.231,11.7,14.0
2021-02-02,13.478,15.955,14.0
2021-02-03,12.703,12.199,14.0
2021-02-04,9.691,11.523,14.0
2021-02-05,8.705,18.055,14.0
2021-02-06,7.249,13.579,14.0
2021-02-07,8.963,10.88,14.0
2021-02-08,7.497,13.732,14.0
2021-02-09,11.14,12.063,13.083
2021-02-10,9.071,11.635,15.125
2021-02-11,8.935,12.326,12.125
2021-02-12,8.487,13.731,14.25
2021-02-13,11.28,9.004,12.792
2021-02-14,7.019,8.548,9.958
2021-02-15,8.497,10.524,14.0
2021-02-16,10.355,12.444,14.583
2021-02-17,12.49,17.201,16.625
2021-02-18,9.134,12.947,15.0
2021-02-19,7.394,13.55,13.667
2021-02-20,9.669,11.132,14.0
2021-02-21,8.835,6.623,14.0
2021-02-22,6.357,10.933,14.0
2021-02-23,7.366,12.345,12.167
2021-02-24,8.064,12.204,13.625
2021-02-25,9.175,16.295,14.75
2021-02-26,11.037,13.42,10.333
2021-02-27,8.759,10.35,11.958
2021-02-28,7.939,4.98,7.583
2021-03-01,8.122,7.263,8.875
2021-03-02,10.831,8.474,8.417
2021-03-03,10.165,12.545,9.25
2021-03-04,12.004,14.76,14.75
2021-03-05,23.334,13.296,24.417
2021-03-06,8.643,9.583,11.458
2021-03-07,7.719,8.642,11.042
2021-03-08,76.962,10.495,11.167
2021-03-09,12.16,12.857,15.125
2021-03-10,12.27,14.506,22.708
2021-03-11,20.441,12.105,15.333
2021-03-12,54.484,13.819,15.375
2021-03-13,49.177,12.321,14.708
2021-03-14,7.918,7.634,11.083
2021-03-15,10.108,13.824,12.875
2021-03-16,13.228,13.017,14.75
2021-03-17,16.774,13.092,15.958
2021-03-18,8.788,11.197,12.125
2021-03-19,10.508,8.37,9.833
2021-03-20,11.233,6.58,11.208
2021-03-21,9.495,7.856,11.792
2021-03-22,10.467,14.461,16.167
2021-03-23,15.382,14.036,20.542
2021-03-24,19.087,13.988,18.25
2021-03-25,14.819,13.43,18.833
2021-03-26,11.477,13.317,16.542
2021-03-27,10.702,11.871,18.458
2021-03-28,12.067,8.177,15.625
2021-03-29,9.244,15.091,16.125
2021-03-30,19.58,17.44,20.625
2021-03-31,17.235,16.584,20.25
2021-04-01,15.462,15.658,21.583
2021-04-02,11.598,10.133,15.833
2021-04-03,11.072,9.995,16.75
2021-04-04,9.181,7.471,13.458
2021-04-05,10.191,9.912,12.083
2021-04-06,8.81,12.32,13.25
2021-04-07,16.279,11.973,16.208
2021-04-08,10.723,10.18,12.083
2021-04-09,13.206,9.058,11.5
2021-04-10,20.904,12.921,18.542
2021-04-11,9.322,14.02,21.708
2021-04-12,19.919,18.152,23.208
2021-04-13,21.081,17.504,23.375
2021-04-14,15.198,13.353,17.208
2021-04-15,13.824,12.262,17.458
2021-04-16,9.894,13.233,17.625
2021-04-17,13.165,13.685,17.917
2021-04-18,13.586,12.95,20.125
2021-04-19,15.17,13.855,19.042
2021-04-20,17.051,14.96,21.0
2021-04-21,24.061,16.135,25.292
2021-04-22,28.248,15.595,25.75
2021-04-23,28.505,13.969,27.917
2021-04-24,31.698,13.213,30.583
2021-04-25,24.192,10.056,31.292
2021-04-26,34.458,14.586,28.75
2021-04-27,25.784,13.158,27.167
2021-04-28,20.778,11.322,19.875
2021-04-29,23.514,9.445,23.083
2021-04-30,11.927,7.426,9.083
