DATA,PM10,NO2,"PM 2,5"
2021-01-01,21.792,10.151,10.0
2021-01-02,17.667,8.813,9.625
2021-01-03,19.5,9.232,9.042
2021-01-04,17.708,7.208,6.0
2021-01-05,33.292,6.98,11.708
2021-01-06,28.25,5.573,9.0
2021-01-07,28.958,8.081,9.542
2021-01-08,21.167,6.562,8.292
2021-01-09,20.875,7.21,10.0
2021-01-10,24.833,5.714,10.0
2021-01-11,23.333,7.478,9.917
2021-01-12,19.5,6.83,8.417
2021-01-13,20.75,7.48,8.375
2021-01-14,14.417,6.057,8.458
2021-01-15,14.417,6.387,6.292
2021-01-16,16.417,7.296,9.75
2021-01-17,19.542,10.122,9.333
2021-01-18,20.417,9.26,9.875
2021-01-19,18.083,7.545,9.667
2021-01-20,19.333,9.773,8.292
2021-01-21,15.917,8.454,8.0
2021-01-22,15.833,7.098,9.958
2021-01-23,13.958,7.03,8.458
2021-01-24,15.167,6.665,9.042
2021-01-25,13.917,5.362,7.583
2021-01-26,16.0,6.882,9.0
2021-01-27,18.208,9.522,10.333
2021-01-28,18.0,8.142,10.167
2021-01-29,19.0,8.041,10.625
2021-01-30,21.25,8.536,12.25
2021-01-31,25.958,9.438,16.792
2021-02-01,19.417,7.412,10.875
2021-02-02,25.375,9.65,14.917
2021-02-03,21.875,9.945,12.625
2021-02-04,17.542,6.442,10.333
2021-02-05,20.708,5.689,10.833
2021-02-06,18.292,13.784,12.0
2021-02-07,15.375,8.392,7.417
2021-02-08,16.708,8.415,7.75
2021-02-09,17.958,9.315,9.0
2021-02-10,18.667,10.159,9.542
2021-02-11,23.333,5.41,11.625
2021-02-12,22.75,6.173,11.583
2021-02-13,23.458,4.12,9.25
2021-02-14,23.708,5.404,12.333
2021-02-15,24.375,6.718,11.917
2021-02-16,20.792,7.372,12.667
2021-02-17,24.583,5.977,11.917
2021-02-18,23.25,9.879,11.292
2021-02-19,27.208,12.92,13.458
2021-02-20,22.375,7.84,9.958
2021-02-21,20.125,6.596,8.083
2021-02-22,30.417,8.492,13.625
2021-02-23,19.375,5.553,8.083
2021-02-24,29.667,4.222,9.667
2021-02-25,25.417,6.175,9.583
2021-02-26,22.708,8.291,8.292
2021-02-27,18.083,5.051,7.458
2021-02-28,16.125,3.718,5.792
2021-03-01,17.792,6.116,6.792
2021-03-02,13.167,3.396,5.333
2021-03-03,20.375,6.248,7.5
2021-03-04,18.417,5.309,7.792
2021-03-05,19.625,5.808,8.542
2021-03-06,25.125,6.028,10.917
2021-03-07,17.167,4.203,5.667
2021-03-08,17.917,8.196,6.5
2021-03-09,18.875,2.296,7.208
2021-03-10,23.042,7.301,6.667
2021-03-11,27.875,14.432,9.25
2021-03-12,28.083,7.528,12.0
2021-03-13,26.375,8.062,11.5
2021-03-14,19.625,6.192,9.542
2021-03-15,20.208,7.377,10.75
2021-03-16,18.833,7.329,9.375
2021-03-17,21.0,6.981,11.375
2021-03-18,16.792,6.648,8.625
2021-03-19,17.0,9.323,10.417
2021-03-20,16.208,8.666,9.667
2021-03-21,16.083,5.365,8.208
2021-03-22,15.333,3.621,8.25
2021-03-23,24.458,7.455,12.75
2021-03-24,20.375,7.768,11.542
2021-03-25,22.708,7.806,12.333
2021-03-26,23.75,7.309,12.5
2021-03-27,19.417,5.723,10.375
2021-03-28,21.333,7.569,11.917
2021-03-29,21.375,6.817,11.625
2021-03-30,24.5,5.665,11.75
2021-03-31,23.25,9.452,12.167
2021-04-01,21.417,7.086,13.25
2021-04-02,23.417,7.77,12.708
2021-04-03,23.375,8.236,12.5
2021-04-04,21.625,7.772,9.5
2021-04-05,18.708,5.107,7.75
2021-04-06,21.125,5.818,10.708
2021-04-07,19.417,8.562,11.25
2021-04-08,16.042,7.37,8.667
2021-04-09,18.417,7.685,8.667
2021-04-10,22.417,9.002,12.125
2021-04-11,20.083,8.056,12.167
2021-04-12,21.75,7.004,12.0
2021-04-13,22.833,8.945,14.25
2021-04-14,15.542,6.811,8.25
2021-04-15,18.667,6.584,11.083
2021-04-16,25.5,10.35,14.167
2021-04-17,23.25,10.492,14.75
2021-04-18,19.083,5.675,10.875
2021-04-19,21.083,7.447,12.083
2021-04-20,15.0,5.425,8.25
2021-04-21,14.042,7.284,7.917
2021-04-22,19.083,8.142,12.25
2021-04-23,21.125,7.521,12.458
2021-04-24,26.875,6.517,16.0
2021-04-25,21.292,4.52,12.292
2021-04-26,25.375,7.096,14.125
2021-04-27,25.625,7.749,14.25
2021-04-28,23.667,7.911,16.0
2021-04-29,18.417,8.887,11.417
2021-04-30,15.167,7.591,7.167
2021-05-01,15.25,6.72,9.792
2021-05-02,20.333,8.318,9.542
2021-05-03,19.708,7.221,9.625
2021-05-04,20.083,7.494,10.125
2021-05-05,19.875,6.875,10.667
2021-05-06,21.417,5.952,11.042
2021-05-07,20.0,6.815,12.458
2021-05-08,19.083,7.73,9.375
2021-05-09,20.0,7.734,8.25
2021-05-10,20.0,9.401,8.625
2021-05-11,19.5,6.448,10.875
2021-05-12,19.875,7.124,12.0
2021-05-13,18.375,2.834,10.333
2021-05-14,19.0,3.281,8.292
2021-05-15,18.167,6.682,9.542
2021-05-16,19.917,5.515,10.375
2021-05-17,20.458,7.526,10.167
2021-05-18,24.083,9.527,14.542
2021-05-19,23.792,8.435,17.625
2021-05-20,21.417,5.374,13.833
2021-05-21,27.75,7.677,17.417
2021-05-22,27.667,7.787,17.833
2021-05-23,26.375,7.999,16.958
2021-05-24,28.625,10.129,16.292
2021-05-25,27.417,10.859,15.167
2021-05-26,25.375,13.554,13.458
2021-05-27,20.25,7.363,12.125
2021-05-28,24.292,7.885,11.917
2021-05-29,21.917,6.824,15.792
2021-05-30,20.292,5.078,13.833
2021-05-31,21.042,7.349,12.042
2021-06-01,20.417,6.395,11.333
2021-06-02,22.167,4.975,11.75
2021-06-03,20.917,6.867,13.042
2021-06-04,23.833,10.379,13.375
2021-06-05,19.583,10.803,9.917
2021-06-06,20.0,6.995,9.625
2021-06-07,20.458,6.504,9.417
2021-06-08,20.75,5.541,9.125
2021-06-09,21.042,6.949,10.458
2021-06-10,23.042,9.072,10.375
2021-06-11,24.583,8.843,11.833
2021-06-12,13.958,4.068,9.208
2021-06-13,14.958,3.761,8.292
2021-06-14,17.708,7.128,11.125
2021-06-15,19.333,7.202,12.125
2021-06-16,23.5,8.374,14.625
2021-06-17,22.333,8.15,14.875
2021-06-18,24.875,10.628,14.625
2021-06-19,19.083,9.822,12.667
2021-06-20,17.375,9.91,11.083
2021-06-21,16.375,4.865,10.125
2021-06-22,27.875,10.438,15.458
2021-06-23,17.292,5.821,11.292
2021-06-24,18.417,7.693,11.667
2021-06-25,18.583,7.911,11.75
2021-06-26,21.25,8.85,12.667
2021-06-27,22.542,8.054,14.917
2021-06-28,17.958,8.192,10.083
2021-06-29,23.042,8.955,11.458
2021-06-30,22.75,9.82,13.125
2021-07-01,16.833,8.158,11.042
2021-07-02,23.708,13.11,12.667
2021-07-03,30.792,20.233,17.625
2021-07-04,26.208,13.183,14.042
2021-07-05,21.958,10.281,15.083
2021-07-06,28.417,17.266,14.25
2021-07-07,25.458,10.731,14.042
2021-07-08,26.833,10.969,16.292
2021-07-09,27.833,14.973,15.0
2021-07-10,21.917,8.95,12.583
2021-07-11,23.5,10.437,12.667
2021-07-12,25.0,12.764,13.208
2021-07-13,19.708,11.01,11.875
2021-07-14,20.5,9.534,11.042
2021-07-15,19.292,5.83,8.667
2021-07-16,19.958,7.108,11.208
2021-07-17,20.583,7.74,10.083
2021-07-18,18.333,6.612,10.083
2021-07-19,23.25,7.09,13.167
2021-07-20,21.208,8.941,13.625
2021-07-21,25.833,8.1,11.542
2021-07-22,24.417,10.39,13.292
2021-07-23,21.833,9.892,12.708
2021-07-24,23.125,9.699,11.125
2021-07-25,17.708,9.098,8.875
2021-07-26,13.333,7.946,7.333
2021-07-27,15.667,5.747,7.5
2021-07-28,23.5,7.771,11.667
2021-07-29,22.5,6.305,10.375
2021-07-30,20.833,8.615,11.75
2021-07-31,22.417,6.202,10.0
2021-08-01,21.75,11.487,10.125
2021-08-02,17.458,11.02,9.375
2021-08-03,21.958,10.038,11.833
2021-08-04,20.5,8.733,13.542
2021-08-05,18.292,6.67,10.125
2021-08-06,12.75,3.541,8.917
2021-08-07,16.708,6.933,9.917
2021-08-08,14.458,7.595,9.542
2021-08-09,12.875,7.823,9.708
2021-08-10,14.167,6.308,9.375
2021-08-11,19.583,8.746,10.042
2021-08-12,30.5,14.129,14.083
2021-08-13,30.208,11.652,17.875
2021-08-14,19.208,7.265,9.375
2021-08-15,20.417,8.658,11.75
2021-08-16,24.125,12.333,15.083
2021-08-17,25.083,10.445,12.5
2021-08-18,20.375,9.852,10.5
2021-08-19,19.458,11.692,9.708
2021-08-20,18.25,7.285,10.958
2021-08-21,19.042,8.683,9.375
2021-08-22,22.458,10.707,10.083
2021-08-23,27.167,7.219,10.625
2021-08-24,21.125,10.194,9.792
2021-08-25,22.375,14.634,11.25
2021-08-26,19.458,15.092,10.292
2021-08-27,20.917,10.879,10.917
2021-08-28,19.333,12.07,10.417
2021-08-29,21.542,9.579,10.0
2021-08-30,21.625,5.788,10.0
2021-08-31,20.0,4.011,9.125
2021-09-01,16.708,4.249,8.125
2021-09-02,17.875,9.125,9.792
2021-09-03,16.75,6.774,8.333
2021-09-04,17.583,6.285,9.875
2021-09-05,19.167,6.602,10.125
2021-09-06,31.833,11.771,15.0
2021-09-07,25.833,8.019,14.375
2021-09-08,31.583,11.409,13.5
2021-09-09,31.083,12.18,16.375
2021-09-10,27.625,7.728,13.208
2021-09-11,28.292,14.451,13.458
2021-09-12,26.0,13.102,10.5
2021-09-13,38.125,12.61,14.0
2021-09-14,39.5,9.919,14.792
2021-09-15,36.625,11.799,15.167
2021-09-16,35.458,7.485,18.083
2021-09-17,30.0,11.706,17.875
2021-09-18,21.875,10.205,14.083
2021-09-19,40.292,11.976,24.042
2021-09-20,28.042,13.612,16.833
2021-09-21,30.875,8.889,14.875
2021-09-22,34.083,6.39,14.167
2021-09-23,27.708,7.007,13.667
2021-09-24,28.542,12.864,11.917
2021-09-25,23.375,15.237,13.25
2021-09-26,22.0,10.44,11.0
2021-09-27,25.417,16.217,13.0
2021-09-28,24.208,11.293,11.5
2021-09-29,41.042,12.906,17.375
2021-09-30,46.75,9.169,24.167
2021-10-01,36.75,12.107,20.208
2021-10-02,33.417,5.962,15.5
2021-10-03,27.0,11.24,17.0
2021-10-04,37.0,12.377,19.375
2021-10-05,28.208,8.289,10.5
2021-10-06,24.667,12.65,12.125
2021-10-07,27.792,15.685,15.25
2021-10-08,18.833,6.965,9.083
2021-10-09,25.292,13.631,13.708
2021-10-10,18.958,13.292,8.458
2021-10-11,19.375,11.318,6.875
2021-10-12,16.917,6.511,4.792
2021-10-13,16.958,14.103,8.458
2021-10-14,21.583,17.166,10.542
2021-10-15,24.792,13.102,11.75
2021-10-16,23.042,9.397,12.333
2021-10-17,20.167,5.333,10.042
2021-10-18,24.375,13.301,12.0
2021-10-19,21.583,6.618,6.083
2021-10-20,17.333,4.599,6.75
2021-10-21,19.833,5.81,7.208
2021-10-22,16.417,12.952,8.458
2021-10-23,22.625,16.258,12.417
2021-10-24,23.917,8.836,9.458
2021-10-25,22.583,6.42,8.333
2021-10-26,19.917,9.801,8.333
2021-10-27,19.625,12.313,10.375
2021-10-28,18.0,9.7,7.958
2021-10-29,20.417,12.946,9.833
2021-10-30,19.333,8.717,9.083
2021-10-31,16.25,6.914,6.042
2021-11-01,20.708,14.612,8.625
2021-11-02,19.75,8.695,10.708
2021-11-03,19.5,4.008,5.917
2021-11-04,19.375,9.725,9.5
2021-11-05,21.542,10.365,9.833
2021-11-06,20.625,9.226,11.208
2021-11-07,20.5,10.888,10.708
2021-11-08,22.875,13.632,12.125
2021-11-09,20.25,7.26,9.208
2021-11-10,19.667,12.136,10.375
2021-11-11,13.542,9.1,4.375
2021-11-12,16.125,7.49,4.375
2021-11-13,11.708,4.757,4.917
2021-11-14,12.708,9.594,5.5
2021-11-15,17.458,9.097,8.0
2021-11-16,17.583,7.929,7.0
2021-11-17,16.708,8.21,7.458
2021-11-18,18.625,12.902,10.25
2021-11-19,20.5,14.323,7.875
2021-11-20,18.667,7.448,6.25
2021-11-21,14.375,8.716,6.208
2021-11-22,18.167,13.315,7.958
2021-11-23,18.833,5.994,6.958
2021-11-24,19.167,4.555,8.458
2021-11-25,19.667,14.7,13.167
2021-11-26,21.625,14.031,12.167
2021-11-27,20.0,16.22,13.75
2021-11-28,20.833,12.812,13.25
2021-11-29,20.625,10.697,10.125
2021-11-30,20.708,11.004,10.375
2021-12-01,17.917,7.842,9.5
2021-12-02,20.125,8.545,9.292
2021-12-03,18.25,11.844,10.0
2021-12-04,17.917,6.764,10.0
2021-12-05,16.375,11.303,10.0
2021-12-06,18.125,10.957,8.75
2021-12-07,17.542,5.637,6.708
2021-12-08,18.792,5.531,5.833
2021-12-09,16.292,6.92,7.167
2021-12-10,16.417,14.239,9.25
2021-12-11,19.375,13.442,12.542
2021-12-12,21.333,14.456,13.792
2021-12-13,15.083,7.07,7.5
2021-12-14,13.417,10.232,7.625
2021-12-15,19.792,12.76,6.958
2021-12-16,19.958,8.892,8.708
2021-12-17,22.417,6.194,10.042
2021-12-18,18.0,4.148,7.958
2021-12-19,17.25,5.274,7.542
2021-12-20,18.792,8.492,9.625
2021-12-21,18.042,7.152,8.708
2021-12-22,18.5,9.308,8.292
2021-12-23,24.25,10.162,9.333
2021-12-24,17.333,5.604,6.917
2021-12-25,18.5,8.064,9.792
2021-12-26,18.833,9.999,9.917
2021-12-27,19.333,9.322,8.75
2021-12-28,17.542,8.354,7.75
2021-12-29,14.5,9.333,7.292
2021-12-30,21.542,7.517,9.542
2021-12-31,20.792,11.773,10.583
