DATA,PM10,NO2,"PM 2,5"
2021-01-01,22.958,7.074,10.083
2021-01-02,19.25,6.265,10.875
2021-01-03,20.542,7.833,7.083
2021-01-04,16.333,10.566,6.958
2021-01-05,26.333,8.353,6.25
2021-01-06,21.5,7.214,8.083
2021-01-07,26.125,8.624,8.625
2021-01-08,17.875,9.541,8.042
2021-01-09,16.917,5.672,8.625
2021-01-10,18.875,11.582,8.375
2021-01-11,23.583,8.365,9.042
2021-01-12,21.833,8.165,7.917
2021-01-13,21.417,7.65,9.125
2021-01-14,18.583,5.166,8.083
2021-01-15,17.25,6.302,7.375
2021-01-16,17.25,6.18,6.958
2021-01-17,18.292,7.715,6.542
2021-01-18,19.708,8.66,7.917
2021-01-19,19.583,8.222,9.375
2021-01-20,19.125,10.275,8.792
2021-01-21,14.625,7.41,7.333
2021-01-22,14.917,6.48,6.833
2021-01-23,13.625,6.189,5.708
2021-01-24,15.458,5.96,6.583
2021-01-25,15.125,7.018,6.458
2021-01-26,14.25,6.082,8.5
2021-01-27,21.667,7.616,7.25
2021-01-28,21.125,9.352,11.167
2021-01-29,25.917,7.191,10.625
2021-01-30,25.083,7.295,11.458
2021-01-31,25.792,6.157,13.0
2021-02-01,22.458,7.79,8.5
2021-02-02,31.917,8.389,12.875
2021-02-03,27.458,8.399,8.083
2021-02-04,22.5,6.839,10.875
2021-02-05,21.25,8.098,9.083
2021-02-06,16.125,10.066,7.583
2021-02-07,16.917,8.728,8.042
2021-02-08,15.792,11.475,6.125
2021-02-09,14.292,9.647,6.167
2021-02-10,17.75,9.9,9.625
2021-02-11,23.0,7.905,7.5
2021-02-12,23.0,9.468,7.875
2021-02-13,18.0,5.483,6.0
2021-02-14,18.625,9.01,10.0
2021-02-15,18.125,9.857,9.333
2021-02-16,17.75,11.343,12.375
2021-02-17,18.5,8.34,7.167
2021-02-18,20.0,9.805,7.958
2021-02-19,15.792,11.355,5.083
2021-02-20,17.958,13.553,5.708
2021-02-21,15.708,8.747,8.25
2021-02-22,22.208,10.162,8.75
2021-02-23,18.917,9.456,7.542
2021-02-24,20.625,9.933,7.5
2021-02-25,19.333,9.619,8.083
2021-02-26,19.125,8.783,6.667
2021-02-27,16.333,6.933,6.208
2021-02-28,18.042,8.076,8.5
2021-03-01,18.25,8.748,6.458
2021-03-02,17.542,6.588,6.667
2021-03-03,17.083,8.072,8.292
2021-03-04,18.625,9.8,8.125
2021-03-05,16.375,8.363,7.167
2021-03-06,23.083,11.338,10.917
2021-03-07,16.083,5.565,8.625
2021-03-08,15.625,9.76,7.0
2021-03-09,16.042,8.152,7.333
2021-03-10,22.792,12.64,8.833
2021-03-11,25.458,17.215,9.417
2021-03-12,26.0,11.651,9.917
2021-03-13,19.542,7.98,8.0
2021-03-14,16.833,7.31,8.833
2021-03-15,17.25,10.694,9.333
2021-03-16,20.375,9.128,9.0
2021-03-17,17.958,8.746,7.75
2021-03-18,16.667,8.161,8.333
2021-03-19,16.292,7.913,7.75
2021-03-20,15.417,5.249,6.542
2021-03-21,14.5,5.676,6.833
2021-03-22,16.458,7.249,8.25
2021-03-23,21.375,8.858,10.375
2021-03-24,18.417,8.408,9.458
2021-03-25,21.458,9.767,11.5
2021-03-26,22.0,10.118,9.125
2021-03-27,17.708,8.542,7.792
2021-03-28,17.167,6.626,7.917
2021-03-29,19.5,8.725,9.125
2021-03-30,23.583,7.923,10.667
2021-03-31,20.583,10.36,10.542
2021-04-01,24.625,13.823,11.75
2021-04-02,20.333,7.646,11.292
2021-04-03,23.792,10.526,10.542
2021-04-04,17.792,9.112,8.125
2021-04-05,14.75,6.47,6.875
