DATA,PM10,NO2,"PM 2,5"
2021-01-01,8.083,12.347,8.042
2021-01-02,24.0,7.66,13.833
2021-01-03,24.0,7.857,13.5
2021-01-04,24.0,15.485,15.0
2021-01-05,20.542,14.235,11.583
2021-01-06,17.708,26.17,12.375
2021-01-07,16.625,29.848,11.417
2021-01-08,18.875,33.572,12.333
2021-01-09,20.375,22.179,8.792
2021-01-10,25.167,11.138,9.25
2021-01-11,12.458,9.605,5.667
2021-01-12,24.0,10.396,7.875
2021-01-13,24.0,8.378,6.208
2021-01-14,24.0,8.344,8.375
2021-01-15,18.667,17.634,9.042
2021-01-16,5.708,8.3,7.042
2021-01-17,12.042,6.225,7.292
2021-01-18,20.583,11.973,10.25
2021-01-19,21.125,11.065,9.292
2021-01-20,24.0,9.49,9.042
2021-01-21,14.25,8.324,10.792
2021-01-22,62.333,10.828,28.375
2021-01-23,11.167,13.32,12.25
2021-01-24,10.833,13.32,11.042
2021-01-25,12.917,12.017,11.875
2021-01-26,17.375,8.617,13.958
2021-01-27,17.75,11.041,13.792
2021-01-28,15.083,9.118,12.833
2021-01-29,20.583,7.203,14.542
2021-01-30,21.625,6.028,13.333
2021-01-31,20.875,4.068,14.208
2021-02-01,21.417,8.29,14.333
2021-02-02,32.417,11.518,15.667
2021-02-03,28.542,9.252,14.917
2021-02-04,42.167,12.884,16.167
2021-02-05,30.708,27.82,15.792
2021-02-06,15.5,16.794,12.208
2021-02-07,13.375,9.835,10.292
2021-02-08,13.083,11.037,5.5
2021-02-09,11.5,8.813,5.625
2021-02-10,8.667,9.617,6.208
2021-02-11,18.958,11.637,9.417
2021-02-12,15.792,12.438,13.0
2021-02-13,14.333,10.622,14.083
2021-02-14,21.5,13.403,13.042
2021-02-15,30.917,22.262,17.417
2021-02-16,19.958,16.643,15.0
2021-02-17,15.417,16.826,13.208
2021-02-18,22.125,18.795,12.5
2021-02-19,14.667,16.369,13.167
2021-02-20,10.958,10.023,11.292
2021-02-21,11.125,9.78,13.208
2021-02-22,16.375,19.781,12.083
2021-02-23,16.125,18.172,14.958
2021-02-24,34.667,30.168,18.417
2021-02-25,25.958,15.489,15.958
2021-02-26,17.25,11.791,13.25
2021-02-27,14.125,8.982,15.167
2021-02-28,16.208,6.606,12.417
2021-03-01,11.083,8.626,12.042
2021-03-02,16.917,8.178,14.417
2021-03-03,15.333,9.915,13.625
2021-03-04,17.125,16.396,14.375
2021-03-05,33.042,21.533,16.833
2021-03-06,26.958,15.446,14.667
2021-03-07,11.958,12.308,13.583
2021-03-08,15.583,19.905,13.083
2021-03-09,26.458,22.098,15.667
2021-03-10,35.083,24.082,16.917
2021-03-11,44.417,18.139,18.125
2021-03-12,20.958,17.356,14.458
2021-03-13,18.417,7.757,15.333
2021-03-14,10.542,6.727,14.292
2021-03-15,15.333,10.475,14.458
2021-03-16,22.083,12.303,15.167
2021-03-17,17.792,10.147,14.75
2021-03-18,22.083,7.941,13.583
2021-03-19,20.0,8.508,13.208
2021-03-20,17.375,8.103,14.292
2021-03-21,12.333,7.7,12.875
2021-03-22,19.417,10.515,15.083
2021-03-23,24.542,13.723,16.625
2021-03-24,27.583,12.719,17.917
2021-03-25,24.917,12.986,16.25
2021-03-26,25.125,11.086,17.083
2021-03-27,25.292,13.157,16.458
2021-03-28,29.083,14.8,15.0
2021-03-29,35.667,31.649,15.458
2021-03-30,40.042,22.926,13.792
2021-03-31,36.083,37.423,16.458
2021-04-01,30.25,25.806,15.958
2021-04-02,23.0,7.052,14.042
2021-04-03,19.625,9.729,13.875
2021-04-04,11.625,5.516,12.625
2021-04-05,12.458,8.434,12.833
2021-04-06,18.208,12.362,14.167
2021-04-07,20.875,11.992,14.667
2021-04-08,14.375,11.981,16.375
2021-04-09,16.792,12.011,13.417
2021-04-10,14.417,9.859,12.542
2021-04-11,16.292,14.289,13.333
2021-04-12,39.5,34.782,18.583
2021-04-13,38.917,18.303,17.042
2021-04-14,18.958,10.248,14.0
2021-04-15,27.875,13.681,18.583
2021-04-16,22.792,12.247,15.042
2021-04-17,25.083,13.334,16.667
2021-04-18,27.5,15.728,17.167
2021-04-19,33.542,22.463,16.583
2021-04-20,19.417,18.301,14.792
2021-04-21,19.75,20.396,16.542
2021-04-22,35.542,28.862,17.375
