DATA,PM10,NO2,"PM 2,5"
2021-01-01,14.042,30.118,14.083
2021-01-02,8.292,29.58,8.542
2021-01-03,8.5,24.545,8.042
2021-01-04,11.667,56.137,7.708
2021-01-05,14.167,53.009,10.708
2021-01-06,19.0,63.681,14.75
2021-01-07,17.605,67.227,14.75
2021-01-08,17.25,63.837,12.958
2021-01-09,15.25,39.566,11.375
2021-01-10,20.0,28.79,15.0
2021-01-11,20.0,28.79,15.0
2021-01-12,20.0,28.79,15.0
2021-01-13,20.0,28.79,15.0
2021-01-14,20.0,28.79,15.0
2021-01-15,20.0,28.79,15.0
2021-01-16,20.0,28.79,15.0
2021-01-17,20.0,28.79,15.0
2021-01-18,20.0,28.79,15.0
2021-01-19,20.0,28.79,15.0
2021-01-20,20.0,28.79,15.0
2021-01-21,20.0,28.79,15.0
2021-01-22,20.0,28.79,15.0
2021-01-23,20.0,28.79,15.0
2021-01-24,20.0,28.79,15.0
2021-01-25,20.0,28.79,15.0
2021-01-26,20.0,28.79,15.0
2021-01-27,20.0,28.79,15.0
2021-01-28,20.0,28.79,15.0
2021-01-29,20.0,28.79,15.0
2021-01-30,20.0,28.79,15.0
2021-01-31,20.0,28.79,15.0
2021-02-01,20.0,28.79,15.0
2021-02-02,20.0,28.79,15.0
2021-02-03,20.0,28.79,15.0
2021-02-04,20.0,28.79,15.0
2021-02-05,20.0,28.79,15.0
2021-02-06,20.0,28.79,15.0
2021-02-07,20.0,28.79,15.0
2021-02-08,20.0,28.79,15.0
2021-02-09,20.0,28.79,15.0
2021-02-10,20.0,28.79,15.0
2021-02-11,20.0,28.79,15.0
2021-02-12,20.0,28.79,15.0
2021-02-13,20.0,28.79,15.0
2021-02-14,20.0,28.79,15.0
2021-02-15,20.0,28.79,15.0
2021-02-16,20.0,28.79,15.0
2021-02-17,20.0,28.79,15.0
2021-02-18,20.0,28.79,15.0
2021-02-19,20.0,28.79,15.0
2021-02-20,20.0,28.79,15.0
2021-02-21,20.0,28.79,15.0
2021-02-22,20.0,28.79,15.0
2021-02-23,20.0,28.79,15.0
2021-02-24,20.0,28.79,15.0
2021-02-25,20.0,28.79,15.0
2021-02-26,20.0,28.79,15.0
2021-02-27,20.0,28.79,15.0
2021-02-28,20.0,28.79,15.0
2021-03-01,20.0,28.79,15.0
2021-03-02,20.0,28.79,15.0
2021-03-03,20.0,28.79,15.0
2021-03-04,20.0,28.79,15.0
2021-03-05,20.0,28.79,15.0
2021-03-06,20.0,28.79,15.0
2021-03-07,20.0,28.79,15.0
2021-03-08,20.0,28.79,15.0
2021-03-09,20.0,28.79,15.0
2021-03-10,20.0,28.79,15.0
2021-03-11,20.0,28.79,15.0
2021-03-12,20.0,28.79,15.0
2021-03-13,20.0,28.79,15.0
2021-03-14,20.0,28.79,15.0
2021-03-15,20.0,28.79,15.0
2021-03-16,20.0,28.79,15.0
2021-03-17,20.0,28.79,15.0
2021-03-18,20.0,28.79,15.0
2021-03-19,20.0,28.79,15.0
2021-03-20,20.0,28.79,15.0
2021-03-21,20.0,28.79,15.0
2021-03-22,20.0,28.79,15.0
