DATA,PM10,NO2,"PM 2,5"
2021-01-01,21.0,19.83,7.833
2021-01-02,21.0,19.83,5.917
2021-01-03,21.0,19.83,6.0
2021-01-04,21.0,19.83,8.583
2021-01-05,21.0,19.83,12.958
2021-01-06,21.0,19.83,15.375
2021-01-07,21.0,19.83,13.0
2021-01-08,21.0,19.83,11.083
2021-01-09,21.0,19.83,11.375
2021-01-10,21.0,19.83,9.083
2021-01-11,21.0,19.83,12.583
2021-01-12,21.0,19.83,12.0
2021-01-13,21.0,19.83,10.292
2021-01-14,21.0,19.83,9.542
2021-01-15,21.0,19.83,9.792
2021-01-16,21.0,19.83,8.458
2021-01-17,21.0,19.83,7.0
2021-01-18,21.0,19.904,9.625
2021-01-19,21.0,17.085,9.333
2021-01-20,21.0,15.713,31.5
2021-01-21,21.0,16.14,12.333
2021-01-22,21.0,14.388,12.292
2021-01-23,21.0,12.022,8.083
2021-01-24,21.0,10.09,8.167
2021-01-25,21.0,13.915,8.792
2021-01-26,21.0,14.927,8.083
2021-01-27,21.0,15.651,8.208
2021-01-28,21.0,17.93,7.292
2021-01-29,21.0,19.039,14.708
2021-01-30,21.0,19.83,16.0
2021-01-31,21.0,19.83,16.0
2021-02-01,21.0,19.83,16.0
2021-02-02,21.0,19.83,16.0
2021-02-03,21.0,19.83,16.0
2021-02-04,21.0,19.83,16.0
2021-02-05,21.0,19.83,16.0
2021-02-06,21.0,19.83,16.0
2021-02-07,21.0,19.83,16.0
2021-02-08,21.0,19.83,16.0
2021-02-09,21.0,19.83,16.0
2021-02-10,21.0,19.83,16.0
2021-02-11,21.0,19.83,16.0
2021-02-12,21.0,19.83,16.0
2021-02-13,21.0,19.83,16.0
2021-02-14,21.0,19.83,16.0
2021-02-15,21.0,19.83,16.0
2021-02-16,21.0,19.83,16.0
2021-02-17,21.0,19.83,16.0
2021-02-18,21.0,19.83,16.0
2021-02-19,21.0,19.83,16.0
2021-02-20,21.0,19.83,16.0
2021-02-21,21.0,19.83,16.0
2021-02-22,21.0,19.83,16.0
2021-02-23,21.0,19.83,16.0
2021-02-24,21.0,19.83,16.0
2021-02-25,21.0,19.83,16.0
2021-02-26,21.0,19.83,16.0
2021-02-27,21.0,19.83,16.0
2021-02-28,21.0,19.83,16.0
2021-03-01,21.0,19.83,16.0
2021-03-02,21.0,19.83,16.0
2021-03-03,21.0,19.83,16.0
2021-03-04,21.0,19.83,16.0
2021-03-05,21.0,19.83,16.0
2021-03-06,21.0,19.83,16.0
2021-03-07,21.0,19.83,16.0
2021-03-08,21.0,19.83,16.0
2021-03-09,21.0,19.83,16.0
2021-03-10,21.0,19.83,16.0
2021-03-11,21.0,19.83,16.0
2021-03-12,21.0,19.83,16.0
2021-03-13,21.0,19.83,16.0
2021-03-14,21.0,19.83,16.0
2021-03-15,21.0,19.83,16.0
2021-03-16,21.0,19.83,16.0
2021-03-17,21.0,19.83,16.0
2021-03-18,21.0,19.83,16.0
2021-03-19,21.0,19.83,16.0
2021-03-20,21.0,19.83,16.0
2021-03-21,21.0,19.83,16.0
2021-03-22,21.0,19.83,16.0
2021-03-23,21.0,19.83,16.0
2021-03-24,21.0,19.83,16.0
2021-03-25,21.0,19.83,16.0
2021-03-26,21.0,19.83,16.0
2021-03-27,21.0,19.83,16.0
2021-03-28,21.0,19.83,16.0
2021-03-29,21.0,19.83,16.0
2021-03-30,21.0,19.83,16.0
2021-03-31,21.0,19.83,16.0
2021-04-01,21.0,19.83,16.0
2021-04-02,21.0,19.83,16.0
2021-04-03,21.0,19.83,16.0
2021-04-04,21.0,19.83,16.0
2021-04-05,21.0,19.83,16.0
2021-04-06,21.0,19.83,16.0
2021-04-07,21.0,19.83,16.0
2021-04-08,21.0,19.83,16.0
2021-04-09,21.0,19.83,16.0
2021-04-10,21.0,19.83,16.0
2021-04-11,21.0,19.83,16.0
2021-04-12,21.0,19.83,16.0
2021-04-13,21.0,19.83,16.0
2021-04-14,21.0,19.83,16.0
2021-04-15,21.0,19.83,16.0
2021-04-16,21.0,19.83,16.0
2021-04-17,21.0,19.83,16.0
2021-04-18,21.0,19.83,16.0
2021-04-19,21.0,19.83,16.0
2021-04-20,21.0,19.83,16.0
2021-04-21,21.0,19.83,16.0
2021-04-22,21.0,19.83,16.0
2021-04-23,21.0,19.83,16.0
2021-04-24,21.0,19.83,16.0
2021-04-25,21.0,19.83,16.0
2021-04-26,21.0,19.83,16.0
2021-04-27,21.0,19.83,16.0
2021-04-28,21.0,19.83,16.0
2021-04-29,21.0,19.83,16.0
2021-04-30,21.0,19.83,16.0
2021-05-01,21.0,19.83,16.0
2021-05-02,21.0,19.83,16.0
2021-05-03,21.0,19.83,16.0
2021-05-04,21.0,19.83,16.0
2021-05-05,21.0,37.576,18.583
2021-05-06,21.0,35.079,16.792
2021-05-07,21.0,29.543,22.208
2021-05-08,21.0,19.83,12.25
2021-05-09,21.0,19.83,8.458
2021-05-10,21.0,25.78,9.5
2021-05-11,21.0,40.567,15.208
2021-05-12,21.0,39.534,20.75
2021-05-13,21.0,37.37,21.833
2021-05-14,23.917,23.501,11.875
2021-05-15,28.125,23.541,15.333
2021-05-16,22.458,16.907,13.25
2021-05-17,36.875,34.906,20.5
2021-05-18,59.0,42.678,28.5
2021-05-19,60.792,47.837,28.625
2021-05-20,65.792,46.833,31.042
2021-05-21,63.917,54.006,29.708
2021-05-22,51.875,37.164,24.292
2021-05-23,32.083,34.548,20.917
2021-05-24,21.0,30.377,15.25
2021-05-25,25.375,36.44,19.458
2021-05-26,26.833,29.042,18.083
2021-05-27,33.333,37.262,21.167
2021-05-28,22.125,28.664,16.375
2021-05-29,25.208,29.601,18.333
2021-05-30,25.625,28.907,18.333
2021-05-31,19.417,23.758,12.625
2021-06-01,26.667,32.731,17.917
2021-06-02,22.625,29.146,16.375
2021-06-03,17.25,24.573,15.542
2021-06-04,13.75,22.823,13.167
2021-06-05,10.917,15.433,10.75
2021-06-06,12.417,14.597,9.208
2021-06-07,16.542,27.516,10.667
2021-06-08,16.417,29.539,12.958
2021-06-09,15.583,25.204,13.333
2021-06-10,15.167,26.169,13.958
2021-06-11,24.792,31.63,17.875
