DATA,PM10,NO2,"PM 2,5"
2021-01-01,18.292,44.18,12.208
2021-01-02,10.458,43.724,6.583
2021-01-03,9.167,44.62,6.417
2021-01-04,12.75,46.84,7.625
2021-01-05,16.292,45.093,9.833
2021-01-06,21.333,47.872,10.708
2021-01-07,19.292,46.768,11.5
2021-01-08,21.125,50.402,11.25
2021-01-09,12.542,48.191,9.542
2021-01-10,15.75,44.722,10.75
2021-01-11,18.958,44.253,11.0
2021-01-12,20.958,42.103,11.042
2021-01-13,19.958,41.732,9.875
2021-01-14,19.25,43.227,9.708
2021-01-15,15.5,43.496,9.0
2021-01-16,14.833,41.924,7.625
2021-01-17,15.083,39.485,7.125
2021-01-18,20.0,31.527,8.917
2021-01-19,21.917,28.584,10.125
2021-01-20,21.583,44.79,8.875
2021-01-21,22.833,42.899,9.917
2021-01-22,18.542,40.785,8.417
2021-01-23,16.625,42.526,8.458
2021-01-24,16.917,41.217,8.458
2021-01-25,17.958,41.619,7.875
2021-01-26,17.875,41.662,8.417
2021-01-27,22.0,40.613,10.625
2021-01-28,21.125,44.606,8.25
2021-01-29,23.75,41.122,10.25
2021-01-30,21.833,39.693,8.833
2021-01-31,22.875,38.524,11.708
2021-02-01,23.917,43.133,11.167
2021-02-02,29.167,45.674,12.708
2021-02-03,28.25,46.203,12.042
2021-02-04,26.833,45.207,11.875
2021-02-05,22.542,53.82,13.792
2021-02-06,14.25,44.08,7.667
2021-02-07,6.292,48.531,6.667
2021-02-08,10.208,44.155,7.792
2021-02-09,15.083,44.132,8.792
2021-02-10,16.875,44.897,9.792
2021-02-11,15.833,47.824,10.542
2021-02-12,21.833,48.586,10.625
2021-02-13,15.125,44.002,8.75
2021-02-14,15.167,44.239,9.458
2021-02-15,29.833,48.245,13.458
2021-02-16,17.708,46.339,10.042
2021-02-17,14.167,44.77,8.833
2021-02-18,16.125,44.226,8.042
2021-02-19,18.708,47.781,9.625
2021-02-20,17.333,92.935,8.083
2021-02-21,11.458,96.182,6.875
2021-02-22,13.542,104.501,9.167
2021-02-23,15.792,103.31,9.5
2021-02-24,25.417,109.025,10.958
2021-02-25,23.792,101.424,11.5
2021-02-26,14.917,99.687,10.417
2021-02-27,19.625,104.365,11.708
2021-02-28,11.75,90.035,8.833
2021-03-01,14.958,97.875,10.75
2021-03-02,16.625,97.745,10.75
2021-03-03,17.833,54.684,10.333
2021-03-04,24.042,17.722,12.208
2021-03-05,32.667,20.731,14.708
2021-03-06,16.0,10.815,10.5
2021-03-07,10.875,8.1,7.083
2021-03-08,13.125,10.863,7.083
2021-03-09,20.917,19.858,10.583
2021-03-10,26.042,23.287,12.5
2021-03-11,29.958,18.345,13.708
2021-03-12,19.208,22.062,9.75
2021-03-13,18.5,13.922,10.208
2021-03-14,14.708,11.552,10.667
2021-03-15,19.75,17.255,11.208
2021-03-16,25.667,18.207,14.292
2021-03-17,20.375,18.038,11.75
2021-03-18,17.583,14.109,9.417
2021-03-19,16.958,16.201,9.708
2021-03-20,19.458,14.746,9.75
2021-03-21,13.625,10.368,8.458
2021-03-22,22.167,14.825,9.833
2021-03-23,26.667,16.893,13.167
2021-03-24,27.875,17.171,13.833
2021-03-25,27.083,21.074,13.0
2021-03-26,23.875,13.291,11.0
2021-03-27,29.542,15.95,16.083
2021-03-28,22.042,11.783,11.708
2021-03-29,25.625,26.683,11.333
2021-03-30,25.083,18.865,11.25
2021-03-31,28.375,23.22,13.375
2021-04-01,26.625,19.035,12.542
2021-04-02,19.875,11.452,12.125
2021-04-03,18.042,10.834,11.417
2021-04-04,13.458,9.789,11.0
2021-04-05,20.208,15.84,10.875
2021-04-06,23.542,19.605,10.792
2021-04-07,22.25,17.866,11.667
2021-04-08,21.458,17.362,7.5
2021-04-09,20.708,17.113,9.542
2021-04-10,22.042,14.115,9.833
2021-04-11,26.167,13.428,10.083
2021-04-12,42.75,23.708,14.917
2021-04-13,34.125,21.508,13.833
2021-04-14,21.5,16.671,9.208
2021-04-15,27.875,20.826,11.542
2021-04-16,28.875,20.532,10.208
2021-04-17,29.75,16.157,11.667
2021-04-18,30.25,15.435,12.667
2021-04-19,29.333,19.37,11.917
2021-04-20,26.125,19.086,10.583
2021-04-21,27.542,18.422,10.708
2021-04-22,30.958,21.743,12.333
2021-04-23,33.667,22.234,13.792
2021-04-24,36.542,21.59,16.25
2021-04-25,43.125,21.478,17.792
2021-04-26,45.25,28.014,18.667
2021-04-27,41.042,25.345,17.25
2021-04-28,29.833,21.59,13.5
2021-04-29,26.958,19.961,12.458
2021-04-30,23.042,18.159,8.792
2021-05-01,23.625,13.825,9.458
2021-05-02,20.667,13.885,9.042
2021-05-03,29.417,17.019,9.167
2021-05-04,30.75,19.21,10.542
2021-05-05,39.0,21.421,14.0
2021-05-06,42.875,25.941,17.875
2021-05-07,42.25,30.399,18.0
2021-05-08,28.0,17.772,12.125
2021-05-09,21.417,12.993,10.292
2021-05-10,22.708,19.404,9.792
2021-05-11,30.083,20.21,14.458
2021-05-12,30.375,28.214,17.125
2021-05-13,41.375,24.465,17.875
2021-05-14,23.625,21.77,11.792
2021-05-15,33.375,21.77,14.75
2021-05-16,23.0,21.77,10.875
2021-05-17,31.958,27.345,14.375
2021-05-18,42.458,30.54,19.5
2021-05-19,40.25,29.831,17.833
2021-05-20,40.167,31.793,20.417
2021-05-21,52.667,32.288,24.583
2021-05-22,55.417,26.344,16.583
2021-05-23,44.375,22.391,11.0
2021-05-24,41.083,24.156,11.0
2021-05-25,37.583,25.547,11.0
2021-05-26,28.458,19.605,12.0
2021-05-27,35.583,23.482,17.0
2021-05-28,31.958,20.215,16.125
2021-05-29,34.542,20.227,15.625
2021-05-30,35.25,20.04,16.792
2021-05-31,25.375,17.493,10.708
2021-06-01,18.25,18.554,8.5
2021-06-02,21.125,15.622,12.167
2021-06-03,25.542,19.337,14.0
2021-06-04,27.083,25.449,14.375
2021-06-05,20.125,17.218,11.375
2021-06-06,22.0,14.921,9.042
2021-06-07,22.75,18.255,9.667
2021-06-08,17.292,19.122,9.75
2021-06-09,26.708,23.265,13.292
2021-06-10,21.0,22.506,12.958
2021-06-11,24.875,25.847,16.875
2021-06-12,24.875,19.77,14.667
2021-06-13,19.208,14.06,11.667
2021-06-14,30.583,21.364,12.208
2021-06-15,40.5,27.489,17.875
2021-06-16,54.417,25.516,19.667
2021-06-17,41.042,24.454,17.0
2021-06-18,39.875,24.798,17.417
2021-06-19,35.292,18.964,14.75
2021-06-20,32.417,18.262,14.917
2021-06-21,50.583,26.575,21.583
2021-06-22,41.667,22.691,16.333
2021-06-23,27.25,22.402,12.792
2021-06-24,27.625,23.071,13.708
2021-06-25,40.125,27.598,17.083
2021-06-26,38.958,22.008,18.25
2021-06-27,23.292,19.757,11.0
2021-06-28,28.667,21.136,12.083
2021-06-29,37.542,25.849,18.083
2021-06-30,42.458,27.679,20.333
2021-07-01,32.958,20.539,14.708
2021-07-02,34.25,23.22,15.958
2021-07-03,37.583,21.251,16.583
2021-07-04,35.25,19.169,14.417
2021-07-05,27.708,27.088,14.75
2021-07-06,34.333,27.183,15.417
2021-07-07,41.25,28.868,18.333
2021-07-08,44.583,27.821,18.625
2021-07-09,45.333,30.922,20.375
2021-07-10,35.083,23.976,16.375
2021-07-11,26.958,22.359,13.792
2021-07-12,38.833,29.821,14.667
2021-07-13,40.167,25.371,14.208
2021-07-14,30.958,21.921,12.042
2021-07-15,44.375,25.364,16.042
2021-07-16,50.375,27.404,21.333
2021-07-17,52.833,26.322,20.5
2021-07-18,48.917,24.979,19.833
2021-07-19,53.25,34.302,18.125
2021-07-20,24.75,30.346,19.417
2021-07-21,37.583,21.854,16.0
2021-07-22,46.458,26.678,18.5
2021-07-23,51.667,30.677,19.542
2021-07-24,33.292,20.434,10.875
2021-07-25,27.208,18.085,12.042
2021-07-26,23.667,18.762,9.083
2021-07-27,26.375,25.144,15.833
2021-07-28,22.0,26.293,19.292
2021-07-29,35.875,23.696,14.625
2021-07-30,48.625,22.539,20.958
2021-07-31,39.458,19.541,19.833
2021-08-01,27.625,17.172,15.333
2021-08-02,32.375,22.742,13.75
2021-08-03,38.042,24.038,14.75
2021-08-04,31.792,25.825,17.25
2021-08-05,25.917,23.41,12.417
2021-08-06,24.083,18.466,9.833
2021-08-07,21.542,18.288,8.292
2021-08-08,11.625,15.45,7.25
2021-08-09,16.917,17.805,9.167
2021-08-10,26.292,18.162,11.458
2021-08-11,42.375,26.041,15.833
2021-08-12,49.833,30.27,24.25
2021-08-13,42.542,24.537,20.5
2021-08-14,32.583,20.127,15.833
2021-08-15,35.542,22.164,11.0
2021-08-16,43.333,22.203,11.0
2021-08-17,32.167,25.556,13.292
2021-08-18,32.958,25.979,13.333
2021-08-19,25.875,17.786,7.542
2021-08-20,25.667,20.612,8.5
2021-08-21,30.542,18.046,10.75
2021-08-22,26.708,15.573,10.25
2021-08-23,29.375,19.588,8.792
2021-08-24,38.583,24.898,11.083
2021-08-25,35.875,25.468,11.292
2021-08-26,38.125,25.033,10.042
2021-08-27,46.5,23.948,12.625
