DATA,PM10,NO2,"PM 2,5"
2021-01-01,19.292,,8.933
2021-01-02,16.0,,6.092
2021-01-03,12.65,,6.692
2021-01-04,13.208,,4.538
2021-01-05,24.792,,16.233
2021-01-06,18.125,,9.942
2021-01-07,20.458,,10.567
2021-01-08,18.208,,6.346
2021-01-09,20.25,,8.896
2021-01-10,19.458,,6.779
2021-01-11,21.875,,8.733
2021-01-12,21.417,,9.013
2021-01-13,19.333,,7.908
2021-01-14,19.708,,7.329
2021-01-15,26.0,,7.329
2021-01-16,41.083,,7.092
2021-01-17,30.667,,7.0
2021-01-18,34.125,,9.583
2021-01-19,27.542,,8.412
2021-01-20,19.417,,6.837
2021-01-21,21.0,,6.908
2021-01-22,29.833,,5.854
2021-01-23,26.542,,6.804
2021-01-24,21.0,,6.767
2021-01-25,28.208,,7.462
2021-01-26,35.0,,6.875
2021-01-27,24.042,,7.154
2021-01-28,33.333,,7.762
2021-01-29,53.667,,9.513
2021-01-30,33.0,,9.154
2021-01-31,37.25,,11.8
2021-02-01,29.208,,10.058
2021-02-02,32.208,,9.871
2021-02-03,28.167,,8.921
2021-02-04,39.875,,9.675
2021-02-05,18.625,,9.188
2021-02-06,21.958,,11.967
2021-02-07,11.917,,5.938
2021-02-08,12.708,,4.592
2021-02-09,15.125,,6.208
2021-02-10,22.875,,7.496
2021-02-11,24.0,,7.833
2021-02-12,27.125,,10.154
2021-02-13,20.708,,9.45
2021-02-14,18.375,,7.637
2021-02-15,36.208,,8.079
2021-02-16,28.25,,8.767
2021-02-17,33.25,,9.525
2021-02-18,17.542,,8.717
2021-02-19,22.042,,6.621
2021-02-20,21.958,,6.6
2021-02-21,19.25,,6.054
2021-02-22,15.792,,7.233
2021-02-23,20.708,,7.304
2021-02-24,32.5,,7.867
2021-02-25,28.375,,9.517
2021-02-26,20.833,,9.6
2021-02-27,21.917,,8.696
2021-02-28,15.75,,5.975
2021-03-01,20.792,,6.654
2021-03-02,18.208,,6.679
2021-03-03,18.417,,7.35
2021-03-04,23.583,,8.879
2021-03-05,43.917,,10.825
2021-03-06,24.625,,11.017
2021-03-07,26.458,,15.212
2021-03-08,19.417,,9.013
2021-03-09,17.625,,6.517
2021-03-10,16.208,,6.729
2021-03-11,19.042,,7.471
2021-03-12,27.208,,8.712
2021-03-13,31.5,,9.558
2021-03-14,25.25,,8.858
2021-03-15,51.917,,10.162
2021-03-16,62.25,,10.108
2021-03-17,58.292,,11.679
2021-03-18,31.75,,8.417
2021-03-19,35.208,,9.908
2021-03-20,31.208,,9.367
2021-03-21,26.167,,6.962
2021-03-22,33.292,,9.212
2021-03-23,38.583,,9.654
2021-03-24,76.375,,15.562
2021-03-25,59.75,,12.229
2021-03-26,67.167,,14.367
2021-03-27,49.875,,14.858
2021-03-28,45.0,,11.912
2021-03-29,50.042,,12.562
2021-03-30,43.208,,14.538
2021-03-31,25.875,,10.625
2021-04-01,38.542,,11.175
2021-04-02,32.25,,11.246
2021-04-03,22.708,,10.375
2021-04-04,17.292,,9.158
2021-04-05,25.958,,9.054
2021-04-06,23.667,,9.675
2021-04-07,23.125,,8.246
2021-04-08,16.0,,6.192
2021-04-09,19.375,,6.704
2021-04-10,37.792,,9.992
2021-04-11,25.0,,9.279
2021-04-12,30.333,,10.067
2021-04-13,22.5,,10.55
2021-04-14,17.625,,9.525
2021-04-15,21.958,,7.671
2021-04-16,30.042,,11.533
2021-04-17,32.083,,13.246
2021-04-18,35.125,,10.729
2021-04-19,22.542,,9.758
2021-04-20,30.958,,8.221
2021-04-21,33.083,,7.337
2021-04-22,19.792,,7.154
2021-04-23,18.917,,8.025
2021-04-24,26.167,,10.996
2021-04-25,30.0,,12.275
2021-04-26,23.083,,10.538
2021-04-27,23.083,,14.221
2021-04-28,19.958,,12.175
2021-04-29,18.792,,9.979
2021-04-30,15.333,,8.008
2021-05-01,17.292,,9.95
2021-05-02,20.958,,6.388
2021-05-03,18.875,,7.975
2021-05-04,30.958,,8.938
2021-05-05,17.625,,7.8
2021-05-06,26.0,,11.846
2021-05-07,46.583,,13.812
2021-05-08,34.875,,12.342
2021-05-09,34.042,,10.475
2021-05-10,46.5,,8.45
2021-05-11,20.5,,8.133
2021-05-12,30.792,,10.221
2021-05-13,32.875,,10.529
2021-05-14,20.333,,9.721
2021-05-15,27.5,,11.575
2021-05-16,26.125,,13.242
2021-05-17,25.083,,10.471
2021-05-18,22.958,,11.587
2021-05-19,28.5,,14.021
2021-05-20,24.417,,13.354
2021-05-21,27.25,,13.971
2021-05-22,36.833,,16.867
2021-05-23,40.0,,18.454
2021-05-24,33.375,,13.625
2021-05-25,30.75,,13.4
2021-05-26,24.625,,12.55
2021-05-27,22.125,,11.708
2021-05-28,28.083,,12.471
2021-05-29,30.458,,16.046
2021-05-30,45.5,,13.229
2021-05-31,23.125,,9.35
2021-06-01,15.708,,7.821
2021-06-02,20.667,,11.371
2021-06-03,20.583,,9.558
2021-06-04,21.125,,10.1
2021-06-05,22.75,,11.533
2021-06-06,21.125,,10.079
2021-06-07,18.375,,8.892
2021-06-08,23.042,,8.404
2021-06-09,16.708,,8.712
2021-06-10,17.417,,10.133
2021-06-11,20.583,,11.771
2021-06-12,16.958,,9.708
2021-06-13,24.917,,8.896
2021-06-14,22.0,,9.504
2021-06-15,16.833,,8.496
2021-06-16,21.542,,11.246
2021-06-17,33.208,,15.125
2021-06-18,24.458,,12.812
2021-06-19,31.792,,11.696
2021-06-20,29.583,,9.65
2021-06-21,29.75,,11.712
2021-06-22,26.821,,13.775
2021-06-23,25.046,,11.054
2021-06-24,16.117,,8.529
2021-06-25,25.042,,12.804
2021-06-26,32.0,,13.271
2021-06-27,32.375,,8.417
2021-06-28,22.583,,7.742
2021-06-29,23.375,,10.417
2021-06-30,27.208,,13.138
2021-07-01,27.833,,11.662
2021-07-02,36.125,,15.304
2021-07-03,32.042,,13.971
2021-07-04,35.083,,15.562
2021-07-05,45.333,,15.942
2021-07-06,30.333,,13.921
2021-07-07,23.167,,9.412
2021-07-08,30.875,,13.017
2021-07-09,42.5,,15.987
2021-07-10,41.917,,14.904
2021-07-11,51.125,,17.4
2021-07-12,51.833,,17.121
2021-07-13,32.875,,12.425
2021-07-14,29.875,,8.358
2021-07-15,27.917,,9.462
2021-07-16,21.0,,15.492
2021-07-17,21.0,,11.508
2021-07-18,21.0,,20.142
2021-07-19,45.833,,19.558
2021-07-20,35.958,,14.896
2021-07-21,36.042,,12.6
2021-07-22,26.292,,11.804
2021-07-23,37.125,,10.875
2021-07-24,30.125,,8.338
2021-07-25,51.25,,11.308
2021-07-26,54.417,,9.162
2021-07-27,43.125,,12.967
2021-07-28,48.958,,15.763
2021-07-29,33.208,,12.992
2021-07-30,26.208,,12.358
2021-07-31,40.583,,13.987
2021-08-01,43.5,,12.038
2021-08-02,39.5,,17.175
2021-08-03,31.208,,12.087
2021-08-04,25.917,,14.025
2021-08-05,22.167,,11.629
2021-08-06,20.458,,8.504
2021-08-07,29.0,,8.558
2021-08-08,25.292,,7.388
2021-08-09,21.458,,7.121
2021-08-10,26.917,,10.446
2021-08-11,24.833,,8.279
2021-08-12,34.667,,15.221
2021-08-13,30.875,,15.617
2021-08-14,49.708,,13.767
2021-08-15,52.542,,15.092
2021-08-16,30.5,,13.025
2021-08-17,20.083,,11.175
2021-08-18,19.458,,12.075
2021-08-19,17.458,,10.708
2021-08-20,26.75,,11.021
2021-08-21,35.5,,11.067
2021-08-22,38.375,,10.65
2021-08-23,25.708,,9.508
2021-08-24,22.708,,9.1
2021-08-25,20.213,,9.308
2021-08-26,22.375,,12.854
2021-08-27,37.0,,13.558
2021-08-28,57.333,,15.179
2021-08-29,45.542,,11.229
2021-08-30,35.708,,8.462
2021-08-31,13.583,,5.0
2021-09-01,15.583,,4.638
2021-09-02,19.458,,9.396
2021-09-03,19.417,,9.15
2021-09-04,43.958,,13.804
2021-09-05,59.125,,16.267
2021-09-06,47.75,,19.054
2021-09-07,68.042,,19.833
2021-09-08,55.75,,11.179
2021-09-09,51.25,,18.121
2021-09-10,85.25,,20.888
2021-09-11,81.375,,9.2
2021-09-12,92.625,,9.2
2021-09-13,60.542,,15.454
2021-09-14,70.875,,21.562
2021-09-15,93.333,,30.558
2021-09-16,78.292,,33.846
2021-09-17,49.417,,18.325
2021-09-18,79.917,,18.779
2021-09-19,88.25,,25.917
2021-09-20,70.542,,17.812
2021-09-21,39.208,,13.112
2021-09-22,21.0,,10.829
2021-09-23,21.0,,17.046
2021-09-24,21.0,,17.738
2021-09-25,21.0,,15.721
2021-09-26,21.0,,15.625
2021-09-27,21.0,,14.292
2021-09-28,27.125,,12.896
2021-09-29,35.083,,15.104
2021-09-30,34.042,,17.95
2021-10-01,48.958,,22.213
2021-10-02,29.125,,13.983
2021-10-03,32.25,,18.208
2021-10-04,44.0,,22.442
2021-10-05,27.792,,15.075
2021-10-06,25.5,,12.679
2021-10-07,30.125,,16.537
2021-10-08,16.571,,8.85
2021-10-09,71.617,,38.363
2021-10-10,17.292,,9.571
2021-10-11,17.417,,7.883
2021-10-12,18.625,,8.9
2021-10-13,19.458,,8.45
2021-10-14,23.542,,10.429
2021-10-15,21.167,,9.812
2021-10-16,30.833,,12.263
2021-10-17,26.0,,11.692
2021-10-18,20.167,,8.467
2021-10-19,19.042,,6.725
2021-10-20,12.833,,5.367
2021-10-21,19.708,,8.108
2021-10-22,19.792,,9.179
2021-10-23,29.875,,11.996
2021-10-24,24.083,,10.146
2021-10-25,19.125,,9.617
2021-10-26,18.292,,8.054
2021-10-27,28.667,,9.617
2021-10-28,24.458,,11.192
2021-10-29,22.125,,10.9
2021-10-30,17.208,,7.754
2021-10-31,23.25,,8.154
2021-11-01,16.667,,7.504
2021-11-02,20.75,,12.054
2021-11-03,16.375,,6.967
2021-11-04,20.542,,9.108
2021-11-05,21.0,,10.754
2021-11-06,29.417,,11.462
2021-11-07,25.208,,14.362
2021-11-08,23.75,,10.65
2021-11-09,21.875,,10.879
2021-11-10,17.083,,8.417
2021-11-11,14.833,,6.325
2021-11-12,13.375,,4.962
2021-11-13,13.917,,7.0
2021-11-14,22.958,,10.246
2021-11-15,20.625,,9.571
2021-11-16,16.375,,8.846
2021-11-17,14.458,,7.842
2021-11-18,17.125,,7.85
2021-11-19,24.792,,14.279
2021-11-20,19.958,,7.738
2021-11-21,16.083,,6.871
2021-11-22,17.417,,4.879
2021-11-23,22.5,,8.312
2021-11-24,22.5,,10.496
2021-11-25,26.042,,13.446
2021-11-26,29.0,,15.038
2021-11-27,16.458,,8.583
2021-11-28,21.667,,9.175
2021-11-29,21.833,,9.521
2021-11-30,23.875,,12.283
2021-12-01,18.583,,7.312
2021-12-02,19.625,,7.829
2021-12-03,18.292,,6.9
2021-12-04,20.042,,7.321
2021-12-05,68.667,,48.137
2021-12-06,23.625,,8.85
2021-12-07,20.875,,7.846
2021-12-08,16.0,,6.45
2021-12-09,15.458,,6.833
2021-12-10,20.042,,7.475
2021-12-11,18.792,,7.6
2021-12-12,25.375,,10.854
2021-12-13,25.5,,10.571
2021-12-14,23.042,,10.404
2021-12-15,25.417,,9.508
2021-12-16,26.375,,10.788
2021-12-17,22.5,,9.404
2021-12-18,38.458,,19.017
2021-12-19,22.083,,8.888
2021-12-20,17.333,,6.4
2021-12-21,18.542,,5.721
2021-12-22,13.333,,6.383
2021-12-23,23.667,,9.958
2021-12-24,23.625,,8.392
2021-12-25,16.75,,7.538
2021-12-26,18.542,,7.229
2021-12-27,17.458,,8.05
2021-12-28,19.083,,6.942
2021-12-29,17.25,,6.796
2021-12-30,17.083,,5.45
2021-12-31,19.875,,7.163
