DATA,PM10,NO2,"PM 2,5"
2021-01-01,19.583,5.813,9.667
2021-01-02,17.25,6.36,8.375
2021-01-03,10.75,5.559,5.583
2021-01-04,12.5,10.098,5.667
2021-01-05,20.0,8.325,6.958
2021-01-06,18.0,6.499,6.875
2021-01-07,19.417,7.842,9.167
2021-01-08,14.833,8.444,5.25
2021-01-09,21.625,10.633,10.125
2021-01-10,14.333,5.599,8.167
2021-01-11,17.375,6.62,8.042
2021-01-12,16.417,6.34,7.333
2021-01-13,15.792,5.953,8.167
2021-01-14,14.458,5.855,6.167
2021-01-15,11.917,5.439,5.583
2021-01-16,12.5,5.14,6.25
2021-01-17,12.75,4.054,5.917
2021-01-18,14.875,6.222,6.833
2021-01-19,16.208,6.563,8.583
2021-01-20,13.25,5.385,6.625
2021-01-21,16.917,6.656,6.917
2021-01-22,13.5,6.047,6.75
2021-01-23,10.75,4.56,5.042
2021-01-24,13.167,4.454,5.458
2021-01-25,14.583,6.308,7.0
2021-01-26,16.125,6.117,6.375
2021-01-27,13.833,5.69,5.958
2021-01-28,17.583,6.502,9.167
2021-01-29,16.917,5.583,6.583
2021-01-30,22.875,5.145,11.083
2021-01-31,22.958,4.29,12.042
2021-02-01,16.542,6.055,8.0
2021-02-02,22.542,6.122,10.792
2021-02-03,19.292,6.022,7.458
2021-02-04,19.833,6.194,7.958
2021-02-05,22.5,10.943,10.167
2021-02-06,13.625,9.311,7.292
2021-02-07,14.292,9.972,8.0
2021-02-08,11.583,10.325,5.0
2021-02-09,15.458,9.351,5.458
2021-02-10,17.958,7.675,6.833
2021-02-11,19.542,7.865,7.083
2021-02-12,17.542,7.614,5.292
2021-02-13,16.25,6.285,7.0
2021-02-14,14.0,3.62,5.5
2021-02-15,20.792,6.363,6.792
2021-02-16,28.0,15.17,13.625
2021-02-17,35.25,15.63,14.5
2021-02-18,13.667,7.607,5.042
2021-02-19,14.875,9.668,7.0
2021-02-20,18.042,9.506,7.875
2021-02-21,14.375,5.578,5.333
2021-02-22,25.833,8.708,8.333
2021-02-23,24.875,11.122,9.042
2021-02-24,26.208,9.467,9.708
2021-02-25,21.792,8.596,8.542
2021-02-26,20.5,8.129,7.125
2021-02-27,19.167,7.061,7.5
2021-02-28,14.25,5.663,6.083
2021-03-01,11.833,5.998,5.667
2021-03-02,17.167,7.184,7.542
2021-03-03,13.375,7.441,7.083
2021-03-04,16.667,7.794,6.042
2021-03-05,18.542,8.178,6.583
2021-03-06,26.458,11.719,12.625
2021-03-07,26.75,13.229,11.833
2021-03-08,23.625,14.618,8.958
2021-03-09,29.083,20.048,12.583
2021-03-10,24.708,10.398,8.792
2021-03-11,22.208,12.658,7.792
2021-03-12,29.375,12.929,10.667
2021-03-13,20.208,7.438,8.875
2021-03-14,13.667,4.326,6.417
2021-03-15,17.917,8.891,8.542
2021-03-16,20.292,8.799,8.792
2021-03-17,22.583,8.391,8.958
2021-03-18,17.833,7.199,7.5
2021-03-19,13.5,5.654,6.0
2021-03-20,15.0,4.238,6.458
2021-03-21,18.625,7.95,10.083
2021-03-22,17.958,5.829,6.042
2021-03-23,18.042,8.151,8.792
2021-03-24,22.708,7.284,10.292
2021-03-25,17.583,7.075,8.375
2021-03-26,18.333,6.894,7.917
2021-03-27,15.958,6.511,7.167
2021-03-28,16.417,5.708,8.125
2021-03-29,23.042,9.871,10.0
2021-03-30,26.375,10.693,11.917
2021-03-31,35.042,24.995,17.375
2021-04-01,28.708,14.265,13.958
2021-04-02,19.25,10.618,13.0
2021-04-03,19.0,10.8,10.125
2021-04-04,19.0,9.233,8.958
2021-04-05,18.625,9.401,8.167
2021-04-06,17.542,8.332,7.833
2021-04-07,19.417,11.0,8.708
2021-04-08,14.125,11.094,6.958
2021-04-09,22.042,14.12,9.75
2021-04-10,19.167,9.785,8.75
2021-04-11,19.0,7.881,7.375
2021-04-12,21.375,12.208,11.0
2021-04-13,27.708,15.962,12.583
2021-04-14,23.542,15.71,11.25
2021-04-15,33.208,17.824,18.333
2021-04-16,23.958,10.887,12.75
2021-04-17,18.958,7.88,11.75
2021-04-18,15.042,5.256,9.167
2021-04-19,24.0,13.626,12.083
2021-04-20,16.917,13.124,9.292
2021-04-21,19.375,12.045,10.167
2021-04-22,25.75,14.594,13.25
2021-04-23,32.708,17.415,16.083
2021-04-24,22.542,9.49,13.292
2021-04-25,19.625,7.089,9.292
2021-04-26,25.292,9.021,13.917
2021-04-27,25.25,11.178,12.25
2021-04-28,22.625,11.538,12.375
2021-04-29,14.875,8.436,8.667
2021-04-30,19.333,13.793,10.458
2021-05-01,17.875,10.695,12.125
2021-05-02,18.042,11.942,10.25
2021-05-03,17.292,11.201,8.917
2021-05-04,15.125,10.103,7.667
2021-05-05,22.292,11.571,8.625
2021-05-06,23.25,11.854,9.667
2021-05-07,22.542,11.772,8.375
2021-05-08,25.833,14.577,12.208
