DATA,PM10,NO2,"PM 2,5"
2021-01-01,35.292,10.356,12.125
2021-01-02,23.333,9.876,8.25
2021-01-03,19.792,9.247,6.542
2021-01-04,28.125,13.962,8.167
2021-01-05,37.792,15.701,8.125
2021-01-06,36.917,15.092,8.708
2021-01-07,38.625,14.326,9.708
2021-01-08,30.042,15.328,6.917
2021-01-09,29.292,10.78,8.667
2021-01-10,23.5,10.238,6.167
2021-01-11,29.208,10.08,6.458
2021-01-12,28.625,11.473,7.917
2021-01-13,30.75,13.53,7.708
2021-01-14,21.917,8.868,6.542
2021-01-15,17.792,9.155,7.125
2021-01-16,18.333,7.857,7.667
2021-01-17,23.0,10.379,8.0
2021-01-18,24.208,12.026,8.792
2021-01-19,24.542,13.043,7.375
2021-01-20,24.875,11.653,7.375
2021-01-21,30.5,11.87,7.542
2021-01-22,17.75,9.242,7.0
2021-01-23,15.708,7.135,9.083
2021-01-24,14.792,9.073,8.292
2021-01-25,15.583,8.221,7.667
2021-01-26,25.042,12.17,7.917
2021-01-27,26.5,13.726,8.375
2021-01-28,28.083,14.779,7.792
2021-01-29,29.792,12.657,8.75
2021-01-30,29.458,10.694,8.958
2021-01-31,30.458,10.425,12.125
2021-02-01,30.542,11.901,5.25
2021-02-02,38.042,14.751,8.125
2021-02-03,29.917,12.139,7.0
2021-02-04,31.208,12.549,7.417
2021-02-05,30.667,12.853,7.083
2021-02-06,20.042,9.512,7.583
2021-02-07,18.167,11.472,9.833
2021-02-08,20.042,12.424,8.042
2021-02-09,19.5,13.671,4.458
2021-02-10,26.708,13.645,7.917
2021-02-11,31.083,13.878,6.625
2021-02-12,22.167,10.008,6.125
2021-02-13,23.083,10.38,7.667
2021-02-14,21.875,8.345,6.125
2021-02-15,28.667,11.273,6.958
2021-02-16,48.958,11.81,7.583
2021-02-17,43.958,11.837,7.708
2021-02-18,25.833,10.255,8.0
2021-02-19,28.25,11.273,5.167
2021-02-20,29.75,10.141,7.125
2021-02-21,24.917,9.295,7.417
2021-02-22,36.083,15.486,7.125
2021-02-23,34.458,16.722,8.167
2021-02-24,34.875,16.261,7.083
2021-02-25,26.25,10.792,5.333
2021-02-26,29.792,12.397,6.875
2021-02-27,27.917,9.397,4.625
2021-02-28,17.292,6.982,5.917
2021-03-01,18.917,8.196,6.167
2021-03-02,27.25,10.048,8.0
2021-03-03,23.875,12.227,8.333
2021-03-04,26.625,15.738,8.792
2021-03-05,31.083,17.567,8.667
2021-03-06,43.958,19.414,10.542
2021-03-07,30.625,14.283,8.833
2021-03-08,28.5,16.836,5.458
2021-03-09,29.083,14.868,7.25
2021-03-10,26.958,12.343,4.958
2021-03-11,30.917,18.403,6.208
2021-03-12,44.583,19.383,10.333
2021-03-13,33.708,15.526,10.0
2021-03-14,24.833,11.937,8.125
2021-03-15,32.875,16.723,10.875
2021-03-16,31.0,18.272,10.792
2021-03-17,29.375,16.774,11.0
2021-03-18,26.292,12.751,7.833
2021-03-19,18.708,8.899,6.708
2021-03-20,18.75,6.973,6.625
2021-03-21,20.458,9.988,7.583
2021-03-22,20.25,11.46,6.042
2021-03-23,30.875,16.37,11.833
2021-03-24,30.458,15.29,11.125
2021-03-25,31.917,16.11,11.667
2021-03-26,32.0,15.558,12.042
2021-03-27,31.917,15.762,12.125
2021-03-28,31.708,14.935,12.792
2021-03-29,36.458,18.359,13.333
2021-03-30,41.5,16.728,13.958
2021-03-31,30.042,16.193,11.958
2021-04-01,33.333,17.615,15.375
2021-04-02,33.167,15.643,15.542
2021-04-03,25.0,13.476,12.708
2021-04-04,23.375,11.477,9.375
2021-04-05,25.708,15.091,11.125
2021-04-06,28.375,15.988,10.917
2021-04-07,23.0,12.057,10.417
2021-04-08,18.708,11.881,7.292
2021-04-09,26.458,16.183,12.167
2021-04-10,31.667,17.367,15.083
2021-04-11,29.417,16.58,14.75
2021-04-12,39.333,21.242,18.875
2021-04-13,45.333,20.09,18.542
2021-04-14,23.5,14.555,9.917
2021-04-15,28.792,19.112,15.042
2021-04-16,32.083,17.132,13.167
2021-04-17,30.0,18.296,16.542
2021-04-18,26.333,13.637,12.542
2021-04-19,34.083,14.182,11.958
2021-04-20,28.167,16.251,10.417
2021-04-21,26.458,15.192,10.458
2021-04-22,34.458,19.615,15.167
2021-04-23,36.667,20.792,17.667
2021-04-24,38.583,18.609,20.708
2021-04-25,33.458,16.912,16.75
2021-04-26,34.708,17.521,14.458
2021-04-27,33.583,17.921,14.5
2021-04-28,34.792,18.417,17.042
2021-04-29,26.167,13.418,11.667
2021-04-30,22.167,14.872,7.208
2021-05-01,25.0,18.131,11.542
2021-05-02,26.375,15.702,12.667
2021-05-03,28.708,16.096,11.5
2021-05-04,29.625,17.239,10.375
2021-05-05,37.292,19.862,15.625
2021-05-06,38.125,19.128,16.083
2021-05-07,37.875,20.279,17.708
2021-05-08,32.5,14.978,15.125
2021-05-09,19.458,11.58,7.917
2021-05-10,23.708,18.237,11.25
2021-05-11,25.208,21.734,12.875
2021-05-12,31.292,21.225,16.292
2021-05-13,32.208,20.108,18.875
2021-05-14,29.667,15.752,11.958
2021-05-15,21.958,16.066,12.708
2021-05-16,26.0,15.34,14.958
2021-05-17,32.292,17.296,16.625
2021-05-18,42.542,27.052,23.417
2021-05-19,47.083,24.881,27.208
2021-05-20,45.833,22.811,24.708
2021-05-21,52.5,23.296,26.5
2021-05-22,52.75,23.456,26.917
2021-05-23,43.125,18.455,21.042
2021-05-24,60.708,27.502,26.0
2021-05-25,49.333,26.312,19.542
2021-05-26,44.792,18.46,20.0
2021-05-27,45.083,20.942,20.208
2021-05-28,47.875,19.646,19.833
2021-05-29,43.167,18.637,20.792
2021-05-30,41.5,16.216,17.208
2021-05-31,43.083,16.168,14.458
2021-06-01,34.333,18.54,16.833
2021-06-02,40.75,19.769,21.083
2021-06-03,37.333,18.536,19.583
2021-06-04,46.208,24.205,23.417
2021-06-05,30.167,17.911,16.75
2021-06-06,19.375,14.977,10.958
2021-06-07,25.542,18.41,13.875
2021-06-08,25.583,18.782,16.667
2021-06-09,25.0,19.683,19.75
2021-06-10,30.75,24.149,16.167
2021-06-11,33.083,22.532,15.292
2021-06-12,27.125,17.713,15.25
2021-06-13,21.75,16.077,12.792
2021-06-14,29.333,21.328,15.25
2021-06-15,37.75,20.625,19.0
2021-06-16,53.042,26.428,24.333
2021-06-17,48.792,26.58,25.042
2021-06-18,50.0,26.785,24.875
2021-06-19,32.208,18.764,17.708
2021-06-20,23.958,13.788,16.708
2021-06-21,43.417,23.059,19.292
2021-06-22,45.667,25.858,21.5
2021-06-23,37.833,23.695,19.5
2021-06-24,47.0,24.821,20.917
2021-06-25,36.667,22.239,15.625
2021-06-26,43.25,20.36,21.792
2021-06-27,30.083,18.584,16.417
2021-06-28,35.458,20.603,13.917
2021-06-29,44.542,24.38,19.0
2021-06-30,52.958,26.43,20.292
2021-07-01,34.458,22.854,17.875
2021-07-02,39.0,25.222,18.917
2021-07-03,36.625,21.702,18.583
2021-07-04,44.208,26.322,21.208
2021-07-05,47.125,27.731,20.125
2021-07-06,54.417,33.129,20.917
2021-07-07,48.625,28.368,21.917
2021-07-08,52.875,28.064,23.125
2021-07-09,55.208,33.883,25.958
2021-07-10,48.792,29.628,21.542
2021-07-11,40.875,24.611,17.875
2021-07-12,50.167,28.615,20.667
2021-07-13,40.458,24.893,16.958
2021-07-14,44.25,22.452,19.042
2021-07-15,41.333,17.984,16.833
2021-07-16,49.583,22.981,18.25
2021-07-17,55.292,22.836,22.0
2021-07-18,44.125,20.625,17.708
2021-07-19,59.875,31.087,21.208
2021-07-20,46.167,26.936,19.625
2021-07-21,42.167,20.009,15.583
2021-07-22,46.917,26.312,21.0
2021-07-23,45.875,26.858,22.375
2021-07-24,42.0,23.447,16.583
2021-07-25,28.0,20.967,13.708
2021-07-26,21.708,19.064,10.25
2021-07-27,27.542,20.832,13.042
2021-07-28,41.125,25.251,18.083
2021-07-29,48.5,27.47,18.708
2021-07-30,29.042,19.353,16.75
2021-07-31,39.667,22.666,23.0
2021-08-01,34.042,23.225,19.625
2021-08-02,28.167,24.62,13.958
2021-08-03,36.333,23.554,16.417
2021-08-04,37.917,29.62,20.125
2021-08-05,28.792,20.094,16.25
2021-08-06,23.0,19.485,12.0
2021-08-07,23.458,16.724,10.25
2021-08-08,23.042,13.15,11.042
2021-08-09,20.208,18.822,10.583
2021-08-10,28.708,20.649,14.708
2021-08-11,34.208,26.274,16.167
2021-08-12,53.417,36.964,28.792
2021-08-13,43.792,29.472,26.583
2021-08-14,37.125,25.048,22.083
2021-08-15,33.25,23.619,17.625
2021-08-16,25.458,21.67,18.0
2021-08-17,41.75,24.759,22.0
2021-08-18,31.083,21.103,15.75
2021-08-19,30.083,19.027,13.583
2021-08-20,41.167,21.767,17.583
2021-08-21,30.875,18.4,14.375
2021-08-22,25.083,15.135,14.417
2021-08-23,36.625,19.961,16.667
2021-08-24,35.5,20.035,15.583
2021-08-25,31.542,18.564,12.042
2021-08-26,27.458,17.798,11.875
2021-08-27,37.208,25.537,16.375
2021-08-28,24.375,14.913,10.708
2021-08-29,26.042,19.182,11.292
2021-08-30,31.708,20.062,11.5
2021-08-31,17.125,16.015,8.042
2021-09-01,17.375,15.89,8.583
2021-09-02,26.125,20.797,13.75
2021-09-03,18.333,18.345,10.208
2021-09-04,31.792,21.849,17.458
2021-09-05,31.042,22.221,15.875
2021-09-06,24.625,25.528,16.083
2021-09-07,26.0,16.929,17.0
2021-09-08,43.292,23.005,27.25
2021-09-09,42.875,24.05,19.708
2021-09-10,39.083,24.509,18.5
2021-09-11,40.667,19.824,21.958
2021-09-12,36.875,26.506,19.542
2021-09-13,54.542,26.353,26.208
2021-09-14,51.417,26.582,27.792
2021-09-15,47.167,32.035,33.25
2021-09-16,48.292,26.693,31.417
2021-09-17,39.083,22.491,22.083
2021-09-18,31.5,17.613,14.458
2021-09-19,51.083,26.319,28.667
2021-09-20,35.042,16.609,14.0
2021-09-21,39.458,27.685,11.75
2021-09-22,42.083,16.238,13.542
2021-09-23,30.542,14.15,13.458
2021-09-24,22.792,12.59,10.042
2021-09-25,24.0,16.922,12.375
2021-09-26,28.5,19.272,15.667
2021-09-27,33.333,22.335,17.167
2021-09-28,34.708,21.656,15.583
2021-09-29,50.25,21.786,24.458
2021-09-30,48.25,20.878,30.667
2021-10-01,45.958,25.794,27.458
2021-10-02,38.958,20.237,24.083
2021-10-03,33.292,17.645,24.0
2021-10-04,39.708,26.622,25.958
2021-10-05,40.042,19.799,21.625
2021-10-06,29.458,14.778,15.375
2021-10-07,30.167,21.406,16.0
2021-10-08,21.917,20.678,11.208
2021-10-09,26.75,12.269,13.667
2021-10-10,13.167,10.054,6.25
2021-10-11,10.792,15.938,5.625
2021-10-12,16.125,13.91,8.208
2021-10-13,17.0,16.484,8.5
2021-10-14,19.333,16.795,8.708
2021-10-15,25.042,18.03,11.25
2021-10-16,27.167,14.314,13.125
2021-10-17,21.875,9.369,9.208
2021-10-18,24.333,17.083,11.125
2021-10-19,24.292,20.36,11.333
2021-10-20,19.708,19.881,13.042
2021-10-21,16.5,15.149,8.5
2021-10-22,18.083,12.742,6.292
2021-10-23,26.0,12.031,8.083
2021-10-24,26.0,12.874,8.625
2021-10-25,23.042,16.233,10.458
2021-10-26,19.542,17.828,10.333
2021-10-27,17.125,14.49,9.0
2021-10-28,15.875,11.648,7.375
2021-10-29,14.292,10.856,7.417
2021-10-30,14.792,8.716,6.708
2021-10-31,26.0,13.27,11.0
2021-11-01,26.0,13.27,11.0
2021-11-02,26.0,13.27,11.0
2021-11-03,25.5,18.659,11.0
2021-11-04,25.208,19.367,10.5
2021-11-05,20.125,17.114,10.5
2021-11-06,17.583,10.229,10.125
2021-11-07,17.667,9.527,9.375
2021-11-08,23.833,17.06,11.833
2021-11-09,23.667,17.598,12.417
2021-11-10,18.667,11.434,8.083
2021-11-11,16.458,19.738,8.208
2021-11-12,16.375,16.287,9.208
2021-11-13,19.542,12.388,8.333
2021-11-14,9.333,7.652,5.542
2021-11-15,16.333,9.107,6.417
2021-11-16,18.208,12.242,7.458
2021-11-17,16.833,12.566,6.583
2021-11-18,16.75,12.445,6.208
2021-11-19,21.375,12.064,7.917
2021-11-20,18.542,14.941,9.417
2021-11-21,12.542,9.86,4.958
2021-11-22,12.875,10.097,4.583
2021-11-23,28.208,17.428,11.792
2021-11-24,34.292,20.946,15.042
2021-11-25,27.167,19.498,14.083
2021-11-26,22.0,14.318,10.542
2021-11-27,17.5,10.3,9.583
2021-11-28,20.542,9.515,8.75
2021-11-29,24.583,17.578,9.417
2021-11-30,24.542,14.232,8.375
2021-12-01,25.417,21.0,15.75
2021-12-02,21.792,14.994,8.833
2021-12-03,15.25,10.768,6.917
