DATA,PM10,PM10.1,PM10.2,PM10.3,PM10.4,PM10.5,PM10.6,PM10.7,PM10.8,PM10.9,PM10.10,PM10.11
2021-01-01,12.583,22.333,10.164,8.083,14.042,21.0,18.292,19.292,21.792,22.958,19.583,35.292
2021-01-02,7.292,10.708,9.122,24.0,8.292,21.0,10.458,16.0,17.667,19.25,17.25,23.333
2021-01-03,7.917,10.0,8.287,24.0,8.5,21.0,9.167,12.65,19.5,20.542,10.75,19.792
2021-01-04,8.167,12.625,9.354,24.0,11.667,21.0,12.75,13.208,17.708,16.333,12.5,28.125
2021-01-05,17.667,16.917,8.228,20.542,14.167,21.0,16.292,24.792,33.292,26.333,20.0,37.792
2021-01-06,25.125,25.292,15.755,17.708,19.0,21.0,21.333,18.125,28.25,21.5,18.0,36.917
2021-01-07,34.458,22.5,14.051,16.625,17.605,21.0,19.292,20.458,28.958,26.125,19.417,38.625
2021-01-08,17.417,9.667,9.92,18.875,17.25,21.0,21.125,18.208,21.167,17.875,14.833,30.042
2021-01-09,17.792,11.125,19.735,20.375,15.25,21.0,12.542,20.25,20.875,16.917,21.625,29.292
2021-01-10,20.5,12.917,8.436,25.167,20.0,21.0,15.75,19.458,24.833,18.875,14.333,23.5
2021-01-11,20.292,14.667,9.893,12.458,20.0,21.0,18.958,21.875,23.333,23.583,17.375,29.208
2021-01-12,19.958,14.083,11.212,24.0,20.0,21.0,20.958,21.417,19.5,21.833,16.417,28.625
2021-01-13,24.083,16.708,8.97,24.0,20.0,21.0,19.958,19.333,20.75,21.417,15.792,30.75
2021-01-14,17.625,10.917,9.246,24.0,20.0,21.0,19.25,19.708,14.417,18.583,14.458,21.917
2021-01-15,18.542,11.625,9.998,18.667,20.0,21.0,15.5,26.0,14.417,17.25,11.917,17.792
2021-01-16,17.583,10.417,34.331,5.708,20.0,21.0,14.833,41.083,16.417,17.25,12.5,18.333
2021-01-17,10.917,7.792,8.215,12.042,20.0,21.0,15.083,30.667,19.542,18.292,12.75,23.0
2021-01-18,17.167,21.167,8.685,20.583,20.0,21.0,20.0,34.125,20.417,19.708,14.875,24.208
