DATA,"PM 2,5","PM 2,5.1","PM 2,5.2","PM 2,5.3","PM 2,5.4","PM 2,5.5","PM 2,5.6","PM 2,5.7","PM 2,5.8","PM 2,5.9","PM 2,5.10","PM 2,5.11"
2021-01-01,16.75,11.208,14.583,8.042,14.083,7.833,12.208,8.933,10.0,10.083,9.667,12.125
2021-01-02,11.958,5.458,12.042,13.833,8.542,5.917,6.583,6.092,9.625,10.875,8.375,8.25
2021-01-03,13.458,4.667,12.917,13.5,8.042,6.0,6.417,6.692,9.042,7.083,5.583,6.542
2021-01-04,12.083,3.125,13.042,15.0,7.708,8.583,7.625,4.538,6.0,6.958,5.667,8.167
2021-01-05,14.708,7.625,14.792,11.583,10.708,12.958,9.833,16.233,11.708,6.25,6.958,8.125
2021-01-06,19.125,12.208,23.292,12.375,14.75,15.375,10.708,9.942,9.0,8.083,6.875,8.708
2021-01-07,20.25,10.667,17.708,11.417,14.75,13.0,11.5,10.567,9.542,8.625,9.167,9.708
2021-01-08,13.208,5.542,12.167,12.333,12.958,11.083,11.25,6.346,8.292,8.042,5.25,6.917
2021-01-09,12.208,4.542,16.083,8.792,11.375,11.375,9.542,8.896,10.0,8.625,10.125,8.667
2021-01-10,15.833,5.958,16.0,9.25,15.0,9.083,10.75,6.779,10.0,8.375,8.167,6.167
2021-01-11,14.708,4.958,15.208,5.667,15.0,12.583,11.0,8.733,9.917,9.042,8.042,6.458
2021-01-12,15.917,7.958,16.5,7.875,15.0,12.0,11.042,9.013,8.417,7.917,7.333,7.917
2021-01-13,14.0,8.875,14.0,6.208,15.0,10.292,9.875,7.908,8.375,9.125,8.167,7.708
2021-01-14,15.5,7.0,14.0,8.375,15.0,9.542,9.708,7.329,8.458,8.083,6.167,6.542
2021-01-15,14.542,4.958,14.0,9.042,15.0,9.792,9.0,7.329,6.292,7.375,5.583,7.125
2021-01-16,13.25,5.875,14.0,7.042,15.0,8.458,7.625,7.092,9.75,6.958,6.25,7.667
2021-01-17,12.0,3.333,14.0,7.292,15.0,7.0,7.125,7.0,9.333,6.542,5.917,8.0
2021-01-18,13.542,10.125,14.0,10.25,15.0,9.625,8.917,9.583,9.875,7.917,6.833,8.792
