DATA,Betim,Belo Horizonte,Paracatu,Ipatinga
2021-01-01,14.180333333333332,10.5415,8.933,10.46875
2021-01-02,9.819333333333333,8.71875,6.092,9.28125
2021-01-03,10.347333333333333,8.48975,6.692,7.0625
2021-01-04,9.416666666666666,9.729,4.538,6.698
2021-01-05,12.375,11.2705,16.233,8.26025
2021-01-06,18.208333333333332,13.302,9.942,8.1665
2021-01-07,16.208333333333332,12.66675,10.567,9.2605
2021-01-08,10.305666666666667,11.906,6.346,7.125249999999999
2021-01-09,10.944333333333333,10.271,8.896,9.35425
2021-01-10,12.597,11.02075,6.779,8.17725
2021-01-11,11.624666666666668,11.0625,8.733,8.364749999999999
2021-01-12,13.458333333333334,11.47925,9.013,7.896000000000001
2021-01-13,12.291666666666666,10.34375,7.908,8.34375
2021-01-14,12.166666666666666,10.65625,7.329,7.3125
2021-01-15,11.166666666666666,10.7085,7.329,6.59375
2021-01-16,11.041666666666666,9.53125,7.092,7.65625
2021-01-17,9.777666666666667,9.10425,7.0,7.448
2021-01-18,12.555666666666667,10.948,9.583,8.35425
2021-01-19,14.319333333333333,10.9375,8.412,8.75
2021-01-20,12.153,16.10425,6.837,7.771
2021-01-21,12.625,12.0105,6.908,7.448
2021-01-22,13.985999999999999,16.021,5.854,7.63525
2021-01-23,11.528,10.94775,6.804,7.072749999999999
2021-01-24,11.0,10.66675,6.767,7.34375
2021-01-25,11.735999999999999,10.8855,7.462,7.177
2021-01-26,10.694666666666668,11.3645,6.875,7.948
2021-01-27,11.972333333333333,11.90625,7.154,7.978999999999999
2021-01-28,15.778,10.84375,7.762,9.57325
2021-01-29,12.847333333333333,13.625,9.513,9.14575
2021-01-30,11.055666666666667,13.2915,9.154,10.937249999999999
2021-01-31,13.735999999999999,14.229,11.8,13.48975
2021-02-01,12.833333333333334,14.125,10.058,8.15625
2021-02-02,14.902666666666667,14.84375,9.871,11.67725
2021-02-03,15.083333333333334,14.48975,8.921,8.7915
2021-02-04,12.778,14.7605,9.675,9.14575
2021-02-05,12.735999999999999,15.146,9.188,9.2915
2021-02-06,10.527666666666667,12.71875,11.967,8.6145
2021-02-07,10.25,11.98975,5.938,8.323
2021-02-08,10.694333333333333,11.073,4.592,6.72925
2021-02-09,11.375,11.35425,6.208,6.27075
2021-02-10,13.069333333333333,11.75,7.496,8.47925
2021-02-11,12.625,12.73975,7.833,8.20825
2021-02-12,13.514000000000001,13.65625,10.154,7.71875
2021-02-13,11.319666666666668,13.45825,9.45,7.47925
2021-02-14,9.263666666666666,13.375,7.637,8.4895
2021-02-15,11.722333333333333,15.46875,8.079,8.75
2021-02-16,11.972,14.0105,8.767,11.5625
2021-02-17,11.916666666666666,13.26025,9.525,10.323
2021-02-18,11.041666666666666,12.8855,8.717,8.073
2021-02-19,10.944333333333333,13.448,6.621,7.677
2021-02-20,10.639000000000001,12.59375,6.6,7.6665
2021-02-21,10.736333333333334,12.77075,6.054,7.27075
2021-02-22,10.041666666666666,13.0625,7.233,9.45825
2021-02-23,11.458333333333334,13.8645,7.304,8.2085
2021-02-24,13.458333333333334,15.09375,7.867,8.4895
2021-02-25,15.0,14.6145,9.517,7.885249999999999
2021-02-26,10.263666666666666,13.66675,9.6,7.23975
2021-02-27,12.194333333333333,14.46875,8.696,6.44775
2021-02-28,8.194333333333333,13.0625,5.975,6.573
2021-03-01,7.930666666666667,13.448,6.654,6.271000000000001
2021-03-02,8.347333333333333,14.04175,6.679,6.8855
2021-03-03,10.694333333333333,13.7395,7.35,7.802
2021-03-04,15.486333333333334,14.39575,8.879,7.687749999999999
2021-03-05,18.097333333333335,15.63525,10.825,7.739750000000001
2021-03-06,9.416333333333334,14.04175,11.017,11.250250000000001
2021-03-07,9.791666666666666,12.9165,15.212,8.7395
2021-03-08,9.360999999999999,12.7915,9.013,6.978999999999999
2021-03-09,13.264000000000001,14.3125,6.517,8.5935
2021-03-10,16.236,15.10425,6.729,7.3125
2021-03-11,13.152666666666667,15.70825,7.471,8.16675
2021-03-12,13.625,13.802,8.712,10.72925
2021-03-13,13.639000000000001,14.13525,9.558,9.59375
2021-03-14,10.416666666666666,13.98975,8.858,8.22925
2021-03-15,16.861333333333334,14.1665,10.162,9.875
2021-03-16,15.125,15.11475,10.108,9.48975
2021-03-17,16.388666666666666,14.375,11.679,9.77075
2021-03-18,10.583333333333334,13.5,8.417,8.07275
2021-03-19,8.597333333333333,13.479,9.908,7.71875
2021-03-20,9.277666666666667,13.7605,9.367,7.323
2021-03-21,10.666666666666666,13.08325,6.962,8.17675
2021-03-22,14.861333333333334,13.979,9.212,7.146000000000001
2021-03-23,19.194666666666667,15.198,9.654,10.9375
2021-03-24,18.305333333333333,15.6875,15.562,10.60425
2021-03-25,19.277666666666665,15.0625,12.229,10.96875
2021-03-26,17.055666666666667,14.77075,14.367,10.396
2021-03-27,16.458333333333332,15.88525,14.858,9.36475
2021-03-28,14.389000000000001,14.427,11.912,10.18775
2021-03-29,17.111,14.44775,12.562,11.02075
2021-03-30,20.319333333333333,14.0105,14.538,12.073
2021-03-31,20.153000000000002,15.20825,10.625,13.0105
2021-04-01,19.624666666666666,14.875,11.175,13.58325
2021-04-02,13.638666666666666,14.29175,11.246,13.1355
2021-04-03,15.513666666666666,14.073,10.375,11.46875
2021-04-04,13.027666666666667,13.65625,9.158,8.9895
2021-04-05,12.680333333333332,13.677,9.054,8.47925
2021-04-06,13.652666666666667,13.98975,9.675,9.6145
2021-04-07,15.013666666666666,14.3335,8.246,10.28125
2021-04-08,11.680666666666667,13.71875,6.192,7.09375
2021-04-09,12.722333333333333,13.48975,6.704,9.573
2021-04-10,17.792,13.34375,9.992,11.58325
2021-04-11,25.930666666666667,13.604,9.279,10.85425
2021-04-12,30.125,16.125,10.067,12.59375
2021-04-13,25.847333333333335,15.46875,10.55,13.9375
2021-04-14,14.555333333333332,13.552,9.525,9.61475
2021-04-15,17.5,15.28125,7.671,13.5415
2021-04-16,19.639,14.0625,11.533,13.198
2021-04-17,18.944666666666667,14.8335,13.246,13.79175
2021-04-18,20.986,15.2085,10.729,10.396
2021-04-19,17.764,14.875,9.758,10.8955
2021-04-20,18.263666666666666,14.09375,8.221,9.35425
2021-04-21,22.055666666666667,14.5625,7.337,9.41675
2021-04-22,30.347333333333335,15.177,7.154,12.323
2021-04-23,27.250333333333334,16.03125,8.025,13.7395
2021-04-24,30.402666666666665,16.70825,10.996,14.77075
2021-04-25,30.389,17.75,12.275,11.6355
2021-04-26,32.291666666666664,18.146,10.538,12.66675
2021-04-27,26.597333333333335,17.073,14.221,13.21875
2021-04-28,23.652666666666665,15.6355,12.175,14.36475
2021-04-29,23.013666666666666,15.53125,9.979,9.937750000000001
2021-04-30,11.847,13.41675,8.008,7.375
2021-05-01,12.680666666666667,13.729,9.95,10.396
2021-05-02,12.528,13.021,6.388,10.469
2021-05-03,14.055333333333332,13.1355,7.975,9.36475
2021-05-04,17.611,14.3855,8.938,9.625
2021-05-05,31.653000000000002,16.125,7.8,11.29175
2021-05-06,34.236333333333334,17.5105,11.846,11.85425
2021-05-07,36.361,20.1145,13.812,11.562249999999999
2021-05-08,18.625,13.7605,12.342,11.927
2021-05-09,13.833333333333334,11.9375,10.475,8.14575
2021-05-10,13.763666666666666,12.16675,8.45,10.073
2021-05-11,23.111,15.82275,8.133,11.21875
2021-05-12,28.972333333333335,19.34375,10.221,11.823
2021-05-13,29.75,19.39575,10.529,13.5625
2021-05-14,15.708333333333334,13.75,9.721,11.54175
2021-05-15,19.846999999999998,16.09375,11.575,9.7605
2021-05-16,22.221999999999998,13.6875,13.242,10.552
2021-05-17,21.916666666666668,16.96875,10.471,11.03125
2021-05-18,36.43066666666667,22.375,11.587,16.72925
2021-05-19,42.083333333333336,21.82275,14.021,18.31225
2021-05-20,37.791666666666664,24.219,13.354,15.687249999999999
2021-05-21,39.889,23.87475,13.971,19.177
2021-05-22,29.777666666666665,19.875,16.867,17.90625
2021-05-23,23.639,17.4585,18.454,16.0
2021-05-24,22.444333333333333,14.91675,13.625,17.31275
2021-05-25,22.889,16.14575,13.4,15.71875
2021-05-26,24.08366666666667,15.78125,12.55,13.4165
2021-05-27,28.08366666666667,18.48975,11.708,12.88525
2021-05-28,21.666666666666668,16.427,12.471,13.6665
2021-05-29,21.027666666666665,17.19775,16.046,15.16675
2021-05-30,24.652666666666665,17.66675,13.229,12.124749999999999
2021-05-31,17.902666666666665,13.65625,9.35,11.39575
2021-06-01,19.375,13.9375,7.821,12.7915
2021-06-02,20.194333333333333,14.823,11.371,13.76025
2021-06-03,20.902666666666665,15.73975,9.558,14.073
2021-06-04,20.319333333333333,14.28125,10.1,16.62525
2021-06-05,14.958333333333334,12.6145,11.533,12.323
2021-06-06,15.152666666666667,11.28125,10.079,9.499749999999999
2021-06-07,19.111333333333334,12.271,8.892,10.2605
2021-06-08,22.0,13.302,8.404,10.79175
2021-06-09,21.958333333333332,14.125,8.712,12.64575
2021-06-10,19.278000000000002,14.6145,10.133,12.2085
2021-06-11,30.972333333333335,17.46875,11.771,13.75
2021-06-12,23.458333333333332,17.05225,9.708,10.82275
2021-06-13,18.055666666666667,13.85425,8.896,9.87525
2021-06-14,18.277666666666665,13.979,9.504,12.0
2021-06-15,28.722333333333335,19.60425,8.496,13.03125
2021-06-16,35.06933333333333,23.02075,11.246,16.3645
2021-06-17,30.513666666666666,19.323,15.125,16.91675
2021-06-18,31.319333333333333,18.8335,12.812,17.65625
2021-06-19,19.653000000000002,15.94775,11.696,13.083499999999999
2021-06-20,19.0,17.7085,9.65,11.104
2021-06-21,29.652666666666665,23.83325,11.712,12.4375
2021-06-22,25.680333333333333,18.6355,13.775,16.979
2021-06-23,20.263666666666666,14.073,11.054,13.78125
2021-06-24,20.208333333333332,16.052,8.529,13.896
2021-06-25,35.541666666666664,19.0415,12.804,11.89575
2021-06-26,21.583,17.82275,13.271,14.29175
2021-06-27,17.055666666666667,14.823,8.417,12.86475
2021-06-28,27.694333333333333,14.7915,7.742,9.7395
2021-06-29,33.44466666666667,18.64575,10.417,13.0
2021-06-30,26.472333333333335,20.9685,13.138,15.312750000000001
2021-07-01,18.097333333333335,15.6145,11.662,13.04175
2021-07-02,15.653,15.07275,15.304,14.80225
2021-07-03,27.736,17.38525,13.971,16.44775
2021-07-04,24.388666666666666,15.53125,15.562,16.0
2021-07-05,24.903000000000002,15.1355,15.942,15.39575
2021-07-06,23.514,14.5415,13.921,16.6565
2021-07-07,20.875,16.04175,9.412,16.19825
2021-07-08,29.027666666666665,18.87525,13.017,17.72925
